,time_ns,x_cdf,y_cdf,diffusion_time_ns,saturation,replicate
0,0,0,0,750.0,1.25,0
1,100,4367,10983,750.0,1.25,0
2,200,8125,20366,750.0,1.25,0
3,300,11634,28227,750.0,1.25,0
4,400,14751,35356,750.0,1.25,0
5,500,17587,41719,750.0,1.25,0
6,600,20189,47460,750.0,1.25,0
7,700,22509,52537,750.0,1.25,0
8,800,24629,57032,750.0,1.25,0
9,900,26521,60970,750.0,1.25,0
10,1000,28189,64759,750.0,1.25,0
11,1100,29751,68187,750.0,1.25,0
12,1200,31215,71283,750.0,1.25,0
13,1300,32477,74065,750.0,1.25,0
14,1400,33550,76522,750.0,1.25,0
15,1500,34631,78795,750.0,1.25,0
16,1600,35576,80904,750.0,1.25,0
17,1700,36466,82888,750.0,1.25,0
18,1800,37297,84660,750.0,1.25,0
19,1900,38004,86270,750.0,1.25,0
20,2000,38666,87667,750.0,1.25,0
21,2100,39246,88967,750.0,1.25,0
22,2200,39783,90086,750.0,1.25,0
23,2300,40294,91128,750.0,1.25,0
24,2400,40723,92103,750.0,1.25,0
25,2500,41127,92976,750.0,1.25,0
26,2600,41488,93723,750.0,1.25,0
27,2700,41811,94416,750.0,1.25,0
28,2800,42105,95067,750.0,1.25,0
29,2900,42371,95638,750.0,1.25,0
30,3000,42629,96201,750.0,1.25,0
31,3100,42856,96738,750.0,1.25,0
32,3200,43034,97201,750.0,1.25,0
33,3300,43239,97651,750.0,1.25,0
34,3400,43430,98006,750.0,1.25,0
35,3500,43589,98324,750.0,1.25,0
36,3600,43733,98630,750.0,1.25,0
37,3700,43859,98915,750.0,1.25,0
38,3800,43992,99175,750.0,1.25,0
39,3900,44103,99394,750.0,1.25,0
40,4000,44204,99605,750.0,1.25,0
41,4100,44287,99783,750.0,1.25,0
42,4200,44380,99954,750.0,1.25,0
43,4300,44453,100100,750.0,1.25,0
44,4400,44531,100247,750.0,1.25,0
45,4500,44592,100375,750.0,1.25,0
46,4600,44649,100527,750.0,1.25,0
47,4700,44698,100643,750.0,1.25,0
48,4800,44737,100752,750.0,1.25,0
49,4900,44781,100863,750.0,1.25,0
50,5000,44815,100936,750.0,1.25,0
51,5100,44848,101000,750.0,1.25,0
52,5200,44884,101065,750.0,1.25,0
53,5300,44916,101124,750.0,1.25,0
54,5400,44942,101183,750.0,1.25,0
55,5500,44960,101247,750.0,1.25,0
56,5600,44981,101306,750.0,1.25,0
57,5700,45001,101343,750.0,1.25,0
58,5800,45017,101380,750.0,1.25,0
59,5900,45037,101410,750.0,1.25,0
60,6000,45052,101450,750.0,1.25,0
61,6100,45071,101473,750.0,1.25,0
62,6200,45087,101522,750.0,1.25,0
63,6300,45099,101557,750.0,1.25,0
64,6400,45114,101589,750.0,1.25,0
65,6500,45124,101613,750.0,1.25,0
66,6600,45140,101624,750.0,1.25,0
67,6700,45149,101629,750.0,1.25,0
68,6800,45161,101638,750.0,1.25,0
69,6900,45171,101656,750.0,1.25,0
70,7000,45173,101680,750.0,1.25,0
71,7100,45184,101695,750.0,1.25,0
72,7200,45187,101709,750.0,1.25,0
73,7300,45193,101723,750.0,1.25,0
74,7400,45200,101744,750.0,1.25,0
75,7500,45206,101765,750.0,1.25,0
76,7600,45212,101770,750.0,1.25,0
77,7700,45213,101777,750.0,1.25,0
78,7800,45214,101779,750.0,1.25,0
79,7900,45217,101782,750.0,1.25,0
80,8000,45217,101789,750.0,1.25,0
81,8100,45217,101793,750.0,1.25,0
82,8200,45217,101797,750.0,1.25,0
83,8300,45217,101800,750.0,1.25,0
84,8400,45218,101806,750.0,1.25,0
85,8500,45219,101806,750.0,1.25,0
86,8600,45219,101806,750.0,1.25,0
87,8700,45219,101806,750.0,1.25,0
88,8800,45219,101806,750.0,1.25,0
89,8900,45219,101806,750.0,1.25,0
90,9000,45220,101807,750.0,1.25,0
91,9100,45221,101807,750.0,1.25,0
92,9200,45222,101807,750.0,1.25,0
93,9300,45222,101807,750.0,1.25,0
94,9400,45222,101807,750.0,1.25,0
95,9500,45222,101808,750.0,1.25,0
96,9600,45224,101811,750.0,1.25,0
97,9700,45224,101811,750.0,1.25,0
98,9800,45224,101812,750.0,1.25,0
99,9900,45225,101812,750.0,1.25,0
100,10000,45225,101813,750.0,1.25,0
101,10100,45225,101814,750.0,1.25,0
102,10200,45225,101817,750.0,1.25,0
103,10300,45226,101820,750.0,1.25,0
104,10400,45226,101820,750.0,1.25,0
105,10500,45226,101820,750.0,1.25,0
106,10600,45226,101820,750.0,1.25,0
107,10700,45226,101820,750.0,1.25,0
108,10800,45226,101820,750.0,1.25,0
109,10900,45226,101820,750.0,1.25,0
110,11000,45226,101820,750.0,1.25,0
111,11100,45226,101820,750.0,1.25,0
112,11200,45226,101820,750.0,1.25,0
113,11300,45226,101820,750.0,1.25,0
114,11400,45226,101820,750.0,1.25,0
115,11500,45226,101820,750.0,1.25,0
116,11600,45226,101820,750.0,1.25,0
117,11700,45226,101820,750.0,1.25,0
118,11800,45226,101820,750.0,1.25,0
119,11900,45226,101820,750.0,1.25,0
120,12000,45226,101820,750.0,1.25,0
121,12100,45226,101820,750.0,1.25,0
122,12200,45226,101820,750.0,1.25,0
123,12300,45226,101820,750.0,1.25,0
124,12400,45226,101820,750.0,1.25,0
125,12500,45226,101820,750.0,1.25,0
126,12600,45226,101820,750.0,1.25,0
127,12700,45226,101820,750.0,1.25,0
128,12800,45226,101820,750.0,1.25,0
129,12900,45226,101820,750.0,1.25,0
130,13000,45226,101820,750.0,1.25,0
131,13100,45226,101820,750.0,1.25,0
132,13200,45226,101820,750.0,1.25,0
133,13300,45226,101820,750.0,1.25,0
134,13400,45226,101820,750.0,1.25,0
135,13500,45226,101820,750.0,1.25,0
136,13600,45226,101820,750.0,1.25,0
137,13700,45226,101820,750.0,1.25,0
138,13800,45226,101820,750.0,1.25,0
139,13900,45226,101820,750.0,1.25,0
140,14000,45226,101820,750.0,1.25,0
141,14100,45226,101820,750.0,1.25,0
142,14200,45226,101820,750.0,1.25,0
143,14300,45226,101820,750.0,1.25,0
144,14400,45226,101820,750.0,1.25,0
145,14500,45226,101820,750.0,1.25,0
146,14600,45226,101820,750.0,1.25,0
147,14700,45226,101820,750.0,1.25,0
148,14800,45226,101820,750.0,1.25,0
149,14900,45226,101820,750.0,1.25,0
150,0,0,0,6000.0,1.25,0
151,100,4287,11363,6000.0,1.25,0
152,200,8121,20565,6000.0,1.25,0
