,diffusion_time_ns,saturation,counts_x,counts_y,replicate
0,750.0,0.01,26171,77556,0
1,750.0,0.01,25969,77372,1
2,750.0,0.01,26380,78206,2
3,750.0,0.05,38911,114073,0
4,750.0,0.05,39340,114975,1
5,750.0,0.05,38199,111884,2
6,750.0,0.25,38759,107938,0
7,750.0,0.25,38835,107708,1
8,750.0,0.25,38944,109648,2
9,750.0,1.25,45226,101820,0
10,750.0,1.25,44011,102220,1
11,750.0,1.25,44746,100783,2
12,750.0,6.25,52941,85950,0
13,750.0,6.25,53123,85721,1
14,750.0,6.25,53769,83768,2
15,1200.0,0.01,25749,77603,0
16,1200.0,0.01,25858,77183,1
17,1200.0,0.01,26306,76928,2
18,1200.0,0.05,38428,112558,0
19,1200.0,0.05,38246,110697,1
20,1200.0,0.05,38545,111839,2
21,1200.0,0.25,41217,110635,0
22,1200.0,0.25,40127,108207,1
23,1200.0,0.25,40538,109451,2
24,1200.0,1.25,45138,95046,0
25,1200.0,1.25,46643,98393,1
26,1200.0,1.25,45657,98238,2
27,1200.0,6.25,53412,79783,0
28,1200.0,6.25,54335,81903,1
29,1200.0,6.25,54285,80378,2
30,3000.0,0.01,25899,77629,0
31,3000.0,0.01,25921,77273,1
32,3000.0,0.01,25965,76913,2
33,3000.0,0.05,39012,110831,0
34,3000.0,0.05,39477,112573,1
35,3000.0,0.05,38966,110520,2
36,3000.0,0.25,43214,105445,0
37,3000.0,0.25,43270,106406,1
38,3000.0,0.25,43445,105838,2
39,3000.0,1.25,49954,89124,0
40,3000.0,1.25,51280,90225,1
41,3000.0,1.25,50819,91208,2
42,3000.0,6.25,57441,75534,0
43,3000.0,6.25,57624,74874,1
44,3000.0,6.25,58179,77098,2
45,6000.0,0.01,26474,77393,0
46,6000.0,0.01,25623,76386,1
47,6000.0,0.01,26181,77518,2
48,6000.0,0.05,39805,111812,0
49,6000.0,0.05,40484,112341,1
50,6000.0,0.05,39567,109500,2
51,6000.0,0.25,44929,97188,0
52,6000.0,0.25,46655,102251,1
53,6000.0,0.25,45966,99133,2
54,6000.0,1.25,52922,83502,0
55,6000.0,1.25,53688,82564,1
56,6000.0,1.25,54029,83469,2
57,6000.0,6.25,60178,71813,0
58,6000.0,6.25,57886,71498,1
59,6000.0,6.25,61201,72025,2
