,time_ns,x_cdf,y_cdf,diffusion_time_ns,saturation,replicate
0,0,0,0,750.0,1.25,0
1,100,4336,11579,750.0,1.25,0
2,200,8192,21159,750.0,1.25,0
3,300,11701,29261,750.0,1.25,0
4,400,14888,36464,750.0,1.25,0
5,500,17601,42744,750.0,1.25,0
6,600,20124,48438,750.0,1.25,0
7,700,22461,53580,750.0,1.25,0
8,800,24545,58172,750.0,1.25,0
9,900,26454,62317,750.0,1.25,0
10,1000,28238,66073,750.0,1.25,0
11,1100,29788,69646,750.0,1.25,0
12,1200,31234,72840,750.0,1.25,0
13,1300,32542,75757,750.0,1.25,0
14,1400,33737,78346,750.0,1.25,0
15,1500,34834,80881,750.0,1.25,0
16,1600,35886,83236,750.0,1.25,0
17,1700,36850,85318,750.0,1.25,0
18,1800,37747,87294,750.0,1.25,0
19,1900,38554,89115,750.0,1.25,0
20,2000,39277,90789,750.0,1.25,0
21,2100,39990,92359,750.0,1.25,0
22,2200,40632,93768,750.0,1.25,0
23,2300,41208,95057,750.0,1.25,0
24,2400,41769,96315,750.0,1.25,0
25,2500,42278,97411,750.0,1.25,0
26,2600,42769,98514,750.0,1.25,0
27,2700,43278,99544,750.0,1.25,0
28,2800,43723,100506,750.0,1.25,0
29,2900,44131,101460,750.0,1.25,0
30,3000,44483,102386,750.0,1.25,0
31,3100,44830,103218,750.0,1.25,0
32,3200,45173,104029,750.0,1.25,0
33,3300,45495,104741,750.0,1.25,0
34,3400,45826,105443,750.0,1.25,0
35,3500,46140,106149,750.0,1.25,0
36,3600,46449,106838,750.0,1.25,0
37,3700,46744,107440,750.0,1.25,0
38,3800,47005,108077,750.0,1.25,0
39,3900,47283,108677,750.0,1.25,0
40,4000,47556,109268,750.0,1.25,0
41,4100,47798,109820,750.0,1.25,0
42,4200,48040,110339,750.0,1.25,0
43,4300,48309,110897,750.0,1.25,0
44,4400,48554,111423,750.0,1.25,0
45,4500,48748,111952,750.0,1.25,0
46,4600,48990,112443,750.0,1.25,0
47,4700,49220,112975,750.0,1.25,0
48,4800,49456,113535,750.0,1.25,0
49,4900,49660,114064,750.0,1.25,0
50,5000,49879,114565,750.0,1.25,0
51,5100,50065,115092,750.0,1.25,0
52,5200,50263,115526,750.0,1.25,0
53,5300,50450,115927,750.0,1.25,0
54,5400,50664,116316,750.0,1.25,0
55,5500,50868,116731,750.0,1.25,0
56,5600,51072,117177,750.0,1.25,0
57,5700,51251,117614,750.0,1.25,0
58,5800,51453,118062,750.0,1.25,0
59,5900,51643,118452,750.0,1.25,0
60,6000,51835,118876,750.0,1.25,0
61,6100,52003,119244,750.0,1.25,0
62,6200,52177,119629,750.0,1.25,0
63,6300,52341,119995,750.0,1.25,0
64,6400,52506,120402,750.0,1.25,0
65,6500,52697,120838,750.0,1.25,0
66,6600,52890,121324,750.0,1.25,0
67,6700,53069,121793,750.0,1.25,0
68,6800,53254,122223,750.0,1.25,0
69,6900,53450,122660,750.0,1.25,0
70,7000,53680,123124,750.0,1.25,0
71,7100,53867,123589,750.0,1.25,0
72,7200,54039,124076,750.0,1.25,0
73,7300,54242,124552,750.0,1.25,0
74,7400,54405,124991,750.0,1.25,0
75,7500,54588,125420,750.0,1.25,0
76,7600,54765,125879,750.0,1.25,0
77,7700,54952,126321,750.0,1.25,0
78,7800,55145,126711,750.0,1.25,0
