,diffusion_time_ns,saturation,counts_x,counts_y,replicate
0,750.0,0.01,31789,95109,0
1,750.0,0.01,32247,95081,1
2,750.0,0.01,32593,96271,2
3,750.0,0.05,68643,200677,0
4,750.0,0.05,69042,203316,1
5,750.0,0.05,66518,195730,2
6,750.0,0.25,78164,216069,0
7,750.0,0.25,77961,217318,1
8,750.0,0.25,79021,218259,2
9,750.0,1.25,89564,204406,0
10,750.0,1.25,88274,202675,1
11,750.0,1.25,88679,200879,2
12,750.0,6.25,104997,167046,0
13,750.0,6.25,104393,165246,1
14,750.0,6.25,102717,166243,2
15,1200.0,0.01,31423,94618,0
16,1200.0,0.01,32133,96009,1
17,1200.0,0.01,31945,96266,2
18,1200.0,0.05,67834,197900,0
19,1200.0,0.05,67303,197035,1
20,1200.0,0.05,68053,199171,2
21,1200.0,0.25,80536,217666,0
22,1200.0,0.25,80672,218457,1
23,1200.0,0.25,80801,216849,2
24,1200.0,1.25,92142,195939,0
25,1200.0,1.25,90784,192359,1
26,1200.0,1.25,90995,192615,2
27,1200.0,6.25,107643,161046,0
28,1200.0,6.25,107819,159253,1
29,1200.0,6.25,110477,162742,2
30,3000.0,0.01,31787,94647,0
31,3000.0,0.01,32452,94259,1
32,3000.0,0.01,32218,94946,2
33,3000.0,0.05,69002,198252,0
34,3000.0,0.05,68576,197049,1
35,3000.0,0.05,69256,196215,2
36,3000.0,0.25,84050,206618,0
37,3000.0,0.25,84630,209920,1
38,3000.0,0.25,83071,205241,2
39,3000.0,1.25,97255,175902,0
40,3000.0,1.25,99546,181016,1
41,3000.0,1.25,100100,178665,2
42,3000.0,6.25,114131,151304,0
43,3000.0,6.25,114885,149679,1
44,3000.0,6.25,115072,149942,2
45,6000.0,0.01,32174,94674,0
46,6000.0,0.01,32211,94622,1
47,6000.0,0.01,32167,94314,2
48,6000.0,0.05,70411,191438,0
49,6000.0,0.05,69377,191024,1
50,6000.0,0.05,70416,193629,2
51,6000.0,0.25,88442,198256,0
52,6000.0,0.25,89453,196501,1
53,6000.0,0.25,90504,198156,2
54,6000.0,1.25,104963,166606,0
55,6000.0,1.25,103763,166328,1
56,6000.0,1.25,107238,164298,2
57,6000.0,6.25,119290,145895,0
58,6000.0,6.25,117097,144775,1
59,6000.0,6.25,115692,142925,2
