,time_ns,x_cdf,y_cdf,diffusion_time_ns,saturation,replicate,n_fluorophores
0,500,4,1,750.0,1.25,0,100.0
1,1000,12,16,750.0,1.25,0,100.0
2,1500,47,79,750.0,1.25,0,100.0
3,2000,78,130,750.0,1.25,0,100.0
4,2500,110,207,750.0,1.25,0,100.0
5,3000,152,313,750.0,1.25,0,100.0
6,3500,210,445,750.0,1.25,0,100.0
7,4000,269,578,750.0,1.25,0,100.0
8,4500,329,710,750.0,1.25,0,100.0
9,5000,390,937,750.0,1.25,0,100.0
10,5500,455,1135,750.0,1.25,0,100.0
11,6000,536,1332,750.0,1.25,0,100.0
12,6500,595,1519,750.0,1.25,0,100.0
13,7000,661,1667,750.0,1.25,0,100.0
14,7500,726,1854,750.0,1.25,0,100.0
15,8000,781,2025,750.0,1.25,0,100.0
16,8500,854,2185,750.0,1.25,0,100.0
17,9000,919,2376,750.0,1.25,0,100.0
18,9500,970,2545,750.0,1.25,0,100.0
19,10000,1022,2646,750.0,1.25,0,100.0
20,10500,1084,2784,750.0,1.25,0,100.0
21,11000,1153,2934,750.0,1.25,0,100.0
22,11500,1236,3109,750.0,1.25,0,100.0
23,12000,1294,3290,750.0,1.25,0,100.0
24,12500,1364,3454,750.0,1.25,0,100.0
25,13000,1419,3582,750.0,1.25,0,100.0
26,13500,1485,3720,750.0,1.25,0,100.0
27,14000,1562,3953,750.0,1.25,0,100.0
28,14500,1645,4076,750.0,1.25,0,100.0
29,15000,1704,4242,750.0,1.25,0,100.0
30,15500,1781,4441,750.0,1.25,0,100.0
31,16000,1851,4631,750.0,1.25,0,100.0
32,16500,1926,4756,750.0,1.25,0,100.0
33,17000,1997,4911,750.0,1.25,0,100.0
34,17500,2091,5087,750.0,1.25,0,100.0
35,18000,2188,5296,750.0,1.25,0,100.0
36,18500,2284,5482,750.0,1.25,0,100.0
37,19000,2354,5716,750.0,1.25,0,100.0
38,19500,2439,5874,750.0,1.25,0,100.0
39,20000,2483,6049,750.0,1.25,0,100.0
40,20500,2542,6240,750.0,1.25,0,100.0
41,21000,2605,6446,750.0,1.25,0,100.0
42,21500,2664,6611,750.0,1.25,0,100.0
43,22000,2719,6741,750.0,1.25,0,100.0
44,22500,2770,6897,750.0,1.25,0,100.0
45,23000,2833,7043,750.0,1.25,0,100.0
46,23500,2903,7232,750.0,1.25,0,100.0
47,24000,2967,7365,750.0,1.25,0,100.0
48,24500,3028,7533,750.0,1.25,0,100.0
49,25000,3072,7701,750.0,1.25,0,100.0
50,25500,3120,7864,750.0,1.25,0,100.0
51,26000,3173,8020,750.0,1.25,0,100.0
52,26500,3229,8208,750.0,1.25,0,100.0
53,27000,3287,8358,750.0,1.25,0,100.0
54,27500,3359,8569,750.0,1.25,0,100.0
55,28000,3447,8753,750.0,1.25,0,100.0
56,28500,3536,8940,750.0,1.25,0,100.0
57,29000,3650,9093,750.0,1.25,0,100.0
58,29500,3731,9253,750.0,1.25,0,100.0
59,30000,3788,9410,750.0,1.25,0,100.0
60,30500,3848,9551,750.0,1.25,0,100.0
61,31000,3897,9669,750.0,1.25,0,100.0
62,31500,3950,9847,750.0,1.25,0,100.0
63,32000,3995,10020,750.0,1.25,0,100.0
64,32500,4033,10107,750.0,1.25,0,100.0
65,33000,4094,10258,750.0,1.25,0,100.0
66,33500,4156,10369,750.0,1.25,0,100.0
67,34000,4211,10493,750.0,1.25,0,100.0
68,34500,4262,10655,750.0,1.25,0,100.0
69,35000,4323,10775,750.0,1.25,0,100.0
70,35500,4380,10908,750.0,1.25,0,100.0
71,36000,4438,11026,750.0,1.25,0,100.0
72,36500,4489,11145,750.0,1.25,0,100.0
73,37000,4548,11264,750.0,1.25,0,100.0
74,37500,4594,11398,750.0,1.25,0,100.0
75,38000,4642,11529,750.0,1.25,0,100.0
76,38500,4691,11655,750.0,1.25,0,100.0
77,39000,4753,11822,750.0,1.25,0,100.0
78,39500,4816,12022,750.0,1.25,0,100.0
79,40000,4878,12197,750.0,1.25,0,100.0
80,40500,4943,12385,750.0,1.25,0,100.0
81,41000,5000,12541,750.0,1.25,0,100.0
82,41500,5067,12684,750.0,1.25,0,100.0
83,42000,5127,12801,750.0,1.25,0,100.0
84,42500,5192,13002,750.0,1.25,0,100.0
85,43000,5237,13111,750.0,1.25,0,100.0
86,43500,5308,13269,750.0,1.25,0,100.0
87,44000,5391,13443,750.0,1.25,0,100.0
88,44500,5442,13656,750.0,1.25,0,100.0
89,45000,5510,13822,750.0,1.25,0,100.0
90,45500,5583,13996,750.0,1.25,0,100.0
91,46000,5674,14216,750.0,1.25,0,100.0
92,46500,5759,14361,750.0,1.25,0,100.0
93,47000,5827,14523,750.0,1.25,0,100.0
94,47500,5890,14614,750.0,1.25,0,100.0
95,48000,5943,14790,750.0,1.25,0,100.0
96,48500,6026,14982,750.0,1.25,0,100.0
97,49000,6133,15199,750.0,1.25,0,100.0
98,49500,6226,15388,750.0,1.25,0,100.0
99,50000,6332,15564,750.0,1.25,0,100.0
100,50500,6406,15705,750.0,1.25,0,100.0
101,51000,6496,15957,750.0,1.25,0,100.0
102,51500,6605,16206,750.0,1.25,0,100.0
103,52000,6683,16443,750.0,1.25,0,100.0
104,52500,6751,16632,750.0,1.25,0,100.0
105,53000,6822,16774,750.0,1.25,0,100.0
106,53500,6880,16906,750.0,1.25,0,100.0
107,54000,6966,17107,750.0,1.25,0,100.0
108,54500,7039,17287,750.0,1.25,0,100.0
109,55000,7126,17492,750.0,1.25,0,100.0
110,55500,7184,17658,750.0,1.25,0,100.0
111,56000,7248,17789,750.0,1.25,0,100.0
112,56500,7313,17936,750.0,1.25,0,100.0
113,57000,7393,18155,750.0,1.25,0,100.0
114,57500,7452,18340,750.0,1.25,0,100.0
115,58000,7505,18495,750.0,1.25,0,100.0
116,58500,7570,18709,750.0,1.25,0,100.0
117,59000,7632,18898,750.0,1.25,0,100.0
118,59500,7706,19144,750.0,1.25,0,100.0
119,60000,7773,19314,750.0,1.25,0,100.0
120,60500,7864,19498,750.0,1.25,0,100.0
121,61000,7937,19651,750.0,1.25,0,100.0
122,61500,8034,19835,750.0,1.25,0,100.0
123,62000,8108,19987,750.0,1.25,0,100.0
124,62500,8161,20145,750.0,1.25,0,100.0
125,63000,8244,20325,750.0,1.25,0,100.0
