,x,y,diff_time_ns,delay_time_ns,replicate,n_fluorophores,triplet_QY
0,959,509,450,100,0,1000000.0,0.01
1,891,509,450,100,1,1000000.0,0.01
2,896,525,450,100,2,1000000.0,0.01
3,898,549,450,100,3,1000000.0,0.01
4,924,482,450,100,4,1000000.0,0.01
5,869,488,450,100,5,1000000.0,0.01
6,871,538,450,100,6,1000000.0,0.01
7,887,534,450,100,7,1000000.0,0.01
8,999,507,450,100,8,1000000.0,0.01
9,999,465,450,200,0,1000000.0,0.01
10,1037,474,450,200,1,1000000.0,0.01
11,1014,509,450,200,2,1000000.0,0.01
12,1020,486,450,200,3,1000000.0,0.01
13,1050,528,450,200,4,1000000.0,0.01
14,1007,505,450,200,5,1000000.0,0.01
15,1002,511,450,200,6,1000000.0,0.01
16,1014,504,450,200,7,1000000.0,0.01
17,949,495,450,200,8,1000000.0,0.01
18,1098,491,450,400,0,1000000.0,0.01
19,1059,476,450,400,1,1000000.0,0.01
20,1133,482,450,400,2,1000000.0,0.01
21,1126,478,450,400,3,1000000.0,0.01
22,1087,477,450,400,4,1000000.0,0.01
23,1131,456,450,400,5,1000000.0,0.01
24,1082,427,450,400,6,1000000.0,0.01
25,1080,449,450,400,7,1000000.0,0.01
26,1082,462,450,400,8,1000000.0,0.01
27,1114,449,450,800,0,1000000.0,0.01
28,1110,435,450,800,1,1000000.0,0.01
29,1130,447,450,800,2,1000000.0,0.01
30,1135,445,450,800,3,1000000.0,0.01
31,1115,465,450,800,4,1000000.0,0.01
32,1108,454,450,800,5,1000000.0,0.01
33,1099,473,450,800,6,1000000.0,0.01
34,1109,470,450,800,7,1000000.0,0.01
35,1119,488,450,800,8,1000000.0,0.01
36,1069,447,450,1600,0,1000000.0,0.01
37,1115,491,450,1600,1,1000000.0,0.01
38,1150,479,450,1600,2,1000000.0,0.01
39,1120,439,450,1600,3,1000000.0,0.01
40,1103,449,450,1600,4,1000000.0,0.01
41,1070,500,450,1600,5,1000000.0,0.01
42,1085,466,450,1600,6,1000000.0,0.01
43,1077,456,450,1600,7,1000000.0,0.01
44,1156,459,450,1600,8,1000000.0,0.01
45,1123,446,450,3200,0,1000000.0,0.01
46,1099,468,450,3200,1,1000000.0,0.01
47,1036,432,450,3200,2,1000000.0,0.01
48,1074,456,450,3200,3,1000000.0,0.01
49,1072,454,450,3200,4,1000000.0,0.01
50,1131,468,450,3200,5,1000000.0,0.01
51,1066,460,450,3200,6,1000000.0,0.01
52,1100,446,450,3200,7,1000000.0,0.01
53,1071,475,450,3200,8,1000000.0,0.01
54,1136,454,450,6400,0,1000000.0,0.01
55,1157,438,450,6400,1,1000000.0,0.01
56,1119,444,450,6400,2,1000000.0,0.01
57,1079,489,450,6400,3,1000000.0,0.01
58,1157,436,450,6400,4,1000000.0,0.01
59,1155,477,450,6400,5,1000000.0,0.01
60,1137,474,450,6400,6,1000000.0,0.01
61,1145,459,450,6400,7,1000000.0,0.01
62,1094,443,450,6400,8,1000000.0,0.01
63,767,561,900,100,0,1000000.0,0.01
64,782,582,900,100,1,1000000.0,0.01
65,720,622,900,100,2,1000000.0,0.01
66,736,559,900,100,3,1000000.0,0.01
67,755,550,900,100,4,1000000.0,0.01
68,768,589,900,100,5,1000000.0,0.01
69,794,558,900,100,6,1000000.0,0.01
70,758,586,900,100,7,1000000.0,0.01
71,728,573,900,100,8,1000000.0,0.01
72,862,489,900,200,0,1000000.0,0.01
73,816,503,900,200,1,1000000.0,0.01
74,905,557,900,200,2,1000000.0,0.01
75,952,501,900,200,3,1000000.0,0.01
76,856,564,900,200,4,1000000.0,0.01
77,843,548,900,200,5,1000000.0,0.01
78,860,526,900,200,6,1000000.0,0.01
79,791,571,900,200,7,1000000.0,0.01
80,826,513,900,200,8,1000000.0,0.01
81,954,468,900,400,0,1000000.0,0.01
82,952,481,900,400,1,1000000.0,0.01
83,972,489,900,400,2,1000000.0,0.01
84,941,466,900,400,3,1000000.0,0.01
85,956,518,900,400,4,1000000.0,0.01
86,949,513,900,400,5,1000000.0,0.01
87,920,490,900,400,6,1000000.0,0.01
88,1000,481,900,400,7,1000000.0,0.01
89,961,502,900,400,8,1000000.0,0.01
90,1090,473,900,800,0,1000000.0,0.01
91,1073,456,900,800,1,1000000.0,0.01
92,1013,483,900,800,2,1000000.0,0.01
93,1017,475,900,800,3,1000000.0,0.01
94,1108,416,900,800,4,1000000.0,0.01
95,1129,458,900,800,5,1000000.0,0.01
96,1059,465,900,800,6,1000000.0,0.01
97,1090,447,900,800,7,1000000.0,0.01
98,1061,468,900,800,8,1000000.0,0.01
99,1117,440,900,1600,0,1000000.0,0.01
100,1153,445,900,1600,1,1000000.0,0.01
101,1121,433,900,1600,2,1000000.0,0.01
102,1058,445,900,1600,3,1000000.0,0.01
103,1140,442,900,1600,4,1000000.0,0.01
104,1072,443,900,1600,5,1000000.0,0.01
105,1115,462,900,1600,6,1000000.0,0.01
106,1131,462,900,1600,7,1000000.0,0.01
107,1161,499,900,1600,8,1000000.0,0.01
108,1093,489,900,3200,0,1000000.0,0.01
109,1137,442,900,3200,1,1000000.0,0.01
110,1104,431,900,3200,2,1000000.0,0.01
111,1171,471,900,3200,3,1000000.0,0.01
112,1120,462,900,3200,4,1000000.0,0.01
113,1144,480,900,3200,5,1000000.0,0.01
114,1058,442,900,3200,6,1000000.0,0.01
115,1092,443,900,3200,7,1000000.0,0.01
116,1099,475,900,3200,8,1000000.0,0.01
117,1138,474,900,6400,0,1000000.0,0.01
118,1121,447,900,6400,1,1000000.0,0.01
119,1052,448,900,6400,2,1000000.0,0.01
120,1121,440,900,6400,3,1000000.0,0.01
121,1149,481,900,6400,4,1000000.0,0.01
122,1138,470,900,6400,5,1000000.0,0.01
123,1094,466,900,6400,6,1000000.0,0.01
124,1111,467,900,6400,7,1000000.0,0.01
125,1078,404,900,6400,8,1000000.0,0.01
126,649,576,3000,100,0,1000000.0,0.01
127,643,577,3000,100,1,1000000.0,0.01
128,586,578,3000,100,2,1000000.0,0.01
129,593,627,3000,100,3,1000000.0,0.01
130,585,599,3000,100,4,1000000.0,0.01
131,607,590,3000,100,5,1000000.0,0.01
132,638,635,3000,100,6,1000000.0,0.01
133,583,613,3000,100,7,1000000.0,0.01
134,596,644,3000,100,8,1000000.0,0.01
135,688,541,3000,200,0,1000000.0,0.01
136,644,576,3000,200,1,1000000.0,0.01
137,685,594,3000,200,2,1000000.0,0.01
138,662,561,3000,200,3,1000000.0,0.01
139,597,599,3000,200,4,1000000.0,0.01
140,627,544,3000,200,5,1000000.0,0.01
141,602,588,3000,200,6,1000000.0,0.01
142,643,619,3000,200,7,1000000.0,0.01
143,642,577,3000,200,8,1000000.0,0.01
144,763,564,3000,400,0,1000000.0,0.01
145,756,567,3000,400,1,1000000.0,0.01
146,731,578,3000,400,2,1000000.0,0.01
147,740,519,3000,400,3,1000000.0,0.01
148,745,526,3000,400,4,1000000.0,0.01
149,735,538,3000,400,5,1000000.0,0.01
150,753,577,3000,400,6,1000000.0,0.01
151,708,562,3000,400,7,1000000.0,0.01
152,777,554,3000,400,8,1000000.0,0.01
153,881,480,3000,800,0,1000000.0,0.01
154,825,553,3000,800,1,1000000.0,0.01
155,837,505,3000,800,2,1000000.0,0.01
156,861,536,3000,800,3,1000000.0,0.01
157,899,524,3000,800,4,1000000.0,0.01
158,849,523,3000,800,5,1000000.0,0.01
159,920,528,3000,800,6,1000000.0,0.01
160,859,467,3000,800,7,1000000.0,0.01
161,849,515,3000,800,8,1000000.0,0.01
162,988,463,3000,1600,0,1000000.0,0.01
163,919,473,3000,1600,1,1000000.0,0.01
164,977,462,3000,1600,2,1000000.0,0.01
165,1033,477,3000,1600,3,1000000.0,0.01
166,961,482,3000,1600,4,1000000.0,0.01
167,969,499,3000,1600,5,1000000.0,0.01
168,999,471,3000,1600,6,1000000.0,0.01
169,970,479,3000,1600,7,1000000.0,0.01
170,957,483,3000,1600,8,1000000.0,0.01
171,1036,455,3000,3200,0,1000000.0,0.01
172,1067,450,3000,3200,1,1000000.0,0.01
173,1118,439,3000,3200,2,1000000.0,0.01
174,983,454,3000,3200,3,1000000.0,0.01
175,1137,428,3000,3200,4,1000000.0,0.01
176,1052,425,3000,3200,5,1000000.0,0.01
177,1077,466,3000,3200,6,1000000.0,0.01
178,1090,410,3000,3200,7,1000000.0,0.01
179,1054,466,3000,3200,8,1000000.0,0.01
180,1118,468,3000,6400,0,1000000.0,0.01
181,1068,449,3000,6400,1,1000000.0,0.01
182,1072,464,3000,6400,2,1000000.0,0.01
183,1031,459,3000,6400,3,1000000.0,0.01
184,1130,411,3000,6400,4,1000000.0,0.01
185,1095,461,3000,6400,5,1000000.0,0.01
186,1053,459,3000,6400,6,1000000.0,0.01
187,1067,471,3000,6400,7,1000000.0,0.01
188,1121,493,3000,6400,8,1000000.0,0.01
