,x,y,diff_time_ns,delay_time_ns,replicate,n_fluorophores,triplet_QY
0,92,57,450,100,0,100000.0,0.01
1,94,61,450,100,1,100000.0,0.01
2,75,40,450,100,2,100000.0,0.01
3,115,48,450,100,3,100000.0,0.01
4,108,57,450,100,4,100000.0,0.01
5,89,61,450,100,5,100000.0,0.01
6,92,42,450,100,6,100000.0,0.01
7,89,55,450,100,7,100000.0,0.01
8,98,58,450,100,8,100000.0,0.01
9,107,57,450,200,0,100000.0,0.01
10,94,48,450,200,1,100000.0,0.01
11,106,52,450,200,2,100000.0,0.01
12,94,61,450,200,3,100000.0,0.01
13,87,45,450,200,4,100000.0,0.01
14,95,55,450,200,5,100000.0,0.01
15,113,50,450,200,6,100000.0,0.01
16,111,44,450,200,7,100000.0,0.01
17,87,47,450,200,8,100000.0,0.01
18,92,53,450,400,0,100000.0,0.01
19,92,35,450,400,1,100000.0,0.01
20,106,37,450,400,2,100000.0,0.01
21,118,46,450,400,3,100000.0,0.01
22,110,44,450,400,4,100000.0,0.01
23,98,45,450,400,5,100000.0,0.01
24,103,48,450,400,6,100000.0,0.01
25,112,49,450,400,7,100000.0,0.01
26,94,51,450,400,8,100000.0,0.01
27,119,33,450,800,0,100000.0,0.01
28,100,37,450,800,1,100000.0,0.01
29,92,49,450,800,2,100000.0,0.01
30,118,51,450,800,3,100000.0,0.01
31,106,42,450,800,4,100000.0,0.01
32,116,43,450,800,5,100000.0,0.01
33,108,47,450,800,6,100000.0,0.01
34,99,34,450,800,7,100000.0,0.01
35,106,51,450,800,8,100000.0,0.01
36,115,32,450,1600,0,100000.0,0.01
37,111,38,450,1600,1,100000.0,0.01
38,111,43,450,1600,2,100000.0,0.01
39,124,34,450,1600,3,100000.0,0.01
40,97,48,450,1600,4,100000.0,0.01
41,105,42,450,1600,5,100000.0,0.01
42,117,42,450,1600,6,100000.0,0.01
43,125,32,450,1600,7,100000.0,0.01
44,98,61,450,1600,8,100000.0,0.01
45,119,48,450,3200,0,100000.0,0.01
46,98,55,450,3200,1,100000.0,0.01
47,122,30,450,3200,2,100000.0,0.01
48,104,54,450,3200,3,100000.0,0.01
49,101,45,450,3200,4,100000.0,0.01
50,122,56,450,3200,5,100000.0,0.01
51,119,44,450,3200,6,100000.0,0.01
52,138,46,450,3200,7,100000.0,0.01
53,115,36,450,3200,8,100000.0,0.01
54,94,44,450,6400,0,100000.0,0.01
55,119,57,450,6400,1,100000.0,0.01
56,98,53,450,6400,2,100000.0,0.01
57,97,50,450,6400,3,100000.0,0.01
58,103,45,450,6400,4,100000.0,0.01
59,108,41,450,6400,5,100000.0,0.01
60,109,48,450,6400,6,100000.0,0.01
61,93,40,450,6400,7,100000.0,0.01
62,115,45,450,6400,8,100000.0,0.01
63,96,44,900,100,0,100000.0,0.01
64,78,51,900,100,1,100000.0,0.01
65,79,55,900,100,2,100000.0,0.01
66,63,53,900,100,3,100000.0,0.01
67,64,58,900,100,4,100000.0,0.01
68,87,64,900,100,5,100000.0,0.01
69,72,54,900,100,6,100000.0,0.01
70,88,43,900,100,7,100000.0,0.01
71,71,46,900,100,8,100000.0,0.01
72,81,51,900,200,0,100000.0,0.01
73,85,44,900,200,1,100000.0,0.01
74,90,65,900,200,2,100000.0,0.01
