,x,y,delay_time_ns,diff_time_ns,entry,polarization
0,186,118,100,450,0,-0.2236842105263158
1,201,105,200,450,0,-0.3137254901960784
2,184,88,400,450,0,-0.35294117647058826
3,219,70,800,450,0,-0.5155709342560554
4,226,70,1600,450,0,-0.527027027027027
5,217,103,3200,450,0,-0.35625
6,213,101,6400,450,0,-0.35668789808917195
7,190,88,100,450,1,-0.3669064748201439
8,200,113,200,450,1,-0.2779552715654952
9,224,83,400,450,1,-0.4592833876221498
10,210,100,800,450,1,-0.3548387096774194
11,235,77,1600,450,1,-0.5064102564102564
12,226,84,3200,450,1,-0.45806451612903226
13,195,103,6400,450,1,-0.3087248322147651
14,197,118,100,450,2,-0.2507936507936508
15,182,100,200,450,2,-0.2907801418439716
16,208,89,400,450,2,-0.4006734006734007
17,222,85,800,450,2,-0.44625407166123776
18,202,90,1600,450,2,-0.3835616438356164
19,223,101,3200,450,2,-0.3765432098765432
20,211,86,6400,450,2,-0.4208754208754209
21,174,95,100,900,0,-0.2936802973977695
22,166,95,200,900,0,-0.2720306513409962
23,169,107,400,900,0,-0.2246376811594203
24,228,104,800,900,0,-0.37349397590361444
25,238,88,1600,900,0,-0.4601226993865031
26,215,97,3200,900,0,-0.3782051282051282
27,243,79,6400,900,0,-0.5093167701863354
28,142,108,100,900,1,-0.136
29,173,111,200,900,1,-0.21830985915492956
30,223,98,400,900,1,-0.3894080996884735
31,190,91,800,900,1,-0.35231316725978645
32,234,89,1600,900,1,-0.44891640866873067
33,213,90,3200,900,1,-0.40594059405940597
34,214,100,6400,900,1,-0.3630573248407643
35,151,122,100,900,2,-0.10622710622710622
36,170,108,200,900,2,-0.22302158273381295
37,197,101,400,900,2,-0.3221476510067114
38,211,68,800,900,2,-0.5125448028673835
39,211,97,1600,900,2,-0.37012987012987014
40,223,90,3200,900,2,-0.4249201277955272
41,201,100,6400,900,2,-0.33554817275747506
42,123,103,100,3000,0,-0.08849557522123894
43,147,136,200,3000,0,-0.038869257950530034
44,159,103,400,3000,0,-0.21374045801526717
45,177,118,800,3000,0,-0.2
46,184,97,1600,3000,0,-0.3096085409252669
47,197,103,3200,3000,0,-0.31333333333333335
48,234,87,6400,3000,0,-0.45794392523364486
49,108,124,100,3000,1,0.06896551724137931
50,136,108,200,3000,1,-0.11475409836065574
51,154,120,400,3000,1,-0.12408759124087591
52,165,107,800,3000,1,-0.21323529411764705
53,201,101,1600,3000,1,-0.33112582781456956
54,214,88,3200,3000,1,-0.41721854304635764
55,203,84,6400,3000,1,-0.4146341463414634
56,122,116,100,3000,2,-0.025210084033613446
57,159,109,200,3000,2,-0.1865671641791045
58,144,123,400,3000,2,-0.07865168539325842
59,178,85,800,3000,2,-0.35361216730038025
60,188,90,1600,3000,2,-0.35251798561151076
61,222,103,3200,3000,2,-0.36615384615384616
62,220,96,6400,3000,2,-0.3924050632911392
63,151,101,100,450+3000,0,-0.1984126984126984
64,179,106,200,450+3000,0,-0.256140350877193
65,174,111,400,450+3000,0,-0.22105263157894736
66,198,97,800,450+3000,0,-0.3423728813559322
67,220,93,1600,450+3000,0,-0.4057507987220447
68,236,95,3200,450+3000,0,-0.4259818731117825
69,232,89,6400,450+3000,0,-0.4454828660436137
70,150,106,100,450+3000,1,-0.171875
71,161,86,200,450+3000,1,-0.30364372469635625
72,189,98,400,450+3000,1,-0.3170731707317073
73,178,75,800,450+3000,1,-0.40711462450592883
74,224,78,1600,450+3000,1,-0.48344370860927155
75,234,92,3200,450+3000,1,-0.43558282208588955
76,203,78,6400,450+3000,1,-0.44483985765124556
77,160,118,100,450+3000,2,-0.1510791366906475
78,169,107,200,450+3000,2,-0.2246376811594203
79,155,104,400,450+3000,2,-0.1969111969111969
80,204,110,800,450+3000,2,-0.29936305732484075
81,196,95,1600,450+3000,2,-0.3470790378006873
82,230,94,3200,450+3000,2,-0.41975308641975306
83,195,91,6400,450+3000,2,-0.36363636363636365
