,x,y,diff_time_ns,delay_time_ns,replicate,n_fluorophores,triplet_QY
0,23773,12208,450,100,0,1000000.0,0.5
1,23214,12161,450,100,1,1000000.0,0.5
2,23519,12152,450,100,2,1000000.0,0.5
3,23568,12080,450,100,3,1000000.0,0.5
4,23689,12042,450,100,4,1000000.0,0.5
5,23453,12124,450,100,5,1000000.0,0.5
6,23963,11992,450,100,6,1000000.0,0.5
7,23574,12026,450,100,7,1000000.0,0.5
8,23691,12101,450,100,8,1000000.0,0.5
9,26077,11481,450,200,0,1000000.0,0.5
10,26159,11402,450,200,1,1000000.0,0.5
11,26215,11395,450,200,2,1000000.0,0.5
12,26328,11459,450,200,3,1000000.0,0.5
13,26140,11737,450,200,4,1000000.0,0.5
14,26104,11550,450,200,5,1000000.0,0.5
15,26138,11599,450,200,6,1000000.0,0.5
16,26203,11427,450,200,7,1000000.0,0.5
17,26135,11653,450,200,8,1000000.0,0.5
18,27882,10865,450,400,0,1000000.0,0.5
19,27858,11104,450,400,1,1000000.0,0.5
20,27975,11081,450,400,2,1000000.0,0.5
21,27862,10997,450,400,3,1000000.0,0.5
22,28137,10976,450,400,4,1000000.0,0.5
23,27916,10988,450,400,5,1000000.0,0.5
24,28103,11031,450,400,6,1000000.0,0.5
25,28074,11012,450,400,7,1000000.0,0.5
26,27887,11068,450,400,8,1000000.0,0.5
27,28475,10953,450,800,0,1000000.0,0.5
28,28426,10776,450,800,1,1000000.0,0.5
29,28615,10939,450,800,2,1000000.0,0.5
30,28685,10885,450,800,3,1000000.0,0.5
31,28285,10868,450,800,4,1000000.0,0.5
32,28765,10959,450,800,5,1000000.0,0.5
33,28557,10989,450,800,6,1000000.0,0.5
34,28416,10770,450,800,7,1000000.0,0.5
35,28439,10862,450,800,8,1000000.0,0.5
36,28874,10674,450,1600,0,1000000.0,0.5
37,28825,10715,450,1600,1,1000000.0,0.5
38,28442,10784,450,1600,2,1000000.0,0.5
39,28752,10734,450,1600,3,1000000.0,0.5
40,28598,10728,450,1600,4,1000000.0,0.5
41,28622,10958,450,1600,5,1000000.0,0.5
42,28843,10839,450,1600,6,1000000.0,0.5
43,28473,10982,450,1600,7,1000000.0,0.5
44,28441,10844,450,1600,8,1000000.0,0.5
45,28581,10731,450,3200,0,1000000.0,0.5
46,28705,10836,450,3200,1,1000000.0,0.5
47,28754,10871,450,3200,2,1000000.0,0.5
48,28432,10771,450,3200,3,1000000.0,0.5
49,28636,10743,450,3200,4,1000000.0,0.5
50,28302,10924,450,3200,5,1000000.0,0.5
51,28579,10728,450,3200,6,1000000.0,0.5
52,28528,10716,450,3200,7,1000000.0,0.5
53,28747,10698,450,3200,8,1000000.0,0.5
54,28463,10794,450,6400,0,1000000.0,0.5
55,28547,10947,450,6400,1,1000000.0,0.5
56,28627,10783,450,6400,2,1000000.0,0.5
57,28218,10774,450,6400,3,1000000.0,0.5
58,28526,10796,450,6400,4,1000000.0,0.5
59,28451,10787,450,6400,5,1000000.0,0.5
60,28851,10955,450,6400,6,1000000.0,0.5
61,28379,10666,450,6400,7,1000000.0,0.5
62,28533,10877,450,6400,8,1000000.0,0.5
63,20044,12911,900,100,0,1000000.0,0.5
64,20100,12761,900,100,1,1000000.0,0.5
65,19984,12757,900,100,2,1000000.0,0.5
66,20283,12672,900,100,3,1000000.0,0.5
67,20100,12713,900,100,4,1000000.0,0.5
68,20122,12744,900,100,5,1000000.0,0.5
69,20182,12976,900,100,6,1000000.0,0.5
70,20015,12966,900,100,7,1000000.0,0.5
71,20423,12705,900,100,8,1000000.0,0.5
72,22459,12074,900,200,0,1000000.0,0.5
73,22354,12157,900,200,1,1000000.0,0.5
74,22508,12294,900,200,2,1000000.0,0.5
75,22426,12066,900,200,3,1000000.0,0.5
76,22265,12192,900,200,4,1000000.0,0.5
77,22866,12057,900,200,5,1000000.0,0.5
78,22345,12140,900,200,6,1000000.0,0.5
79,22231,12006,900,200,7,1000000.0,0.5
80,22352,12144,900,200,8,1000000.0,0.5
81,25469,11456,900,400,0,1000000.0,0.5
82,25483,11349,900,400,1,1000000.0,0.5
83,25559,11383,900,400,2,1000000.0,0.5
84,25287,11283,900,400,3,1000000.0,0.5
85,25218,11484,900,400,4,1000000.0,0.5
86,25439,11607,900,400,5,1000000.0,0.5
87,25589,11420,900,400,6,1000000.0,0.5
88,25384,11517,900,400,7,1000000.0,0.5
89,25498,11625,900,400,8,1000000.0,0.5
90,27442,10855,900,800,0,1000000.0,0.5
91,27582,10824,900,800,1,1000000.0,0.5
92,27729,10875,900,800,2,1000000.0,0.5
93,27604,10872,900,800,3,1000000.0,0.5
94,27519,10924,900,800,4,1000000.0,0.5
95,27480,10896,900,800,5,1000000.0,0.5
96,27698,10951,900,800,6,1000000.0,0.5
97,27640,10896,900,800,7,1000000.0,0.5
98,27711,11075,900,800,8,1000000.0,0.5
99,28363,10693,900,1600,0,1000000.0,0.5
100,28241,10836,900,1600,1,1000000.0,0.5
101,28247,10710,900,1600,2,1000000.0,0.5
102,28330,10559,900,1600,3,1000000.0,0.5
103,28635,10733,900,1600,4,1000000.0,0.5
104,27946,10886,900,1600,5,1000000.0,0.5
105,28456,10935,900,1600,6,1000000.0,0.5
106,28553,10544,900,1600,7,1000000.0,0.5
107,28462,10967,900,1600,8,1000000.0,0.5
108,28446,10697,900,3200,0,1000000.0,0.5
109,28023,10445,900,3200,1,1000000.0,0.5
110,28439,10709,900,3200,2,1000000.0,0.5
111,28342,10788,900,3200,3,1000000.0,0.5
112,28472,10576,900,3200,4,1000000.0,0.5
113,28134,10717,900,3200,5,1000000.0,0.5
114,28469,10765,900,3200,6,1000000.0,0.5
115,28466,10794,900,3200,7,1000000.0,0.5
116,28449,10748,900,3200,8,1000000.0,0.5
117,28079,10767,900,6400,0,1000000.0,0.5
118,28114,10609,900,6400,1,1000000.0,0.5
119,28072,10659,900,6400,2,1000000.0,0.5
120,28031,10694,900,6400,3,1000000.0,0.5
121,28243,10740,900,6400,4,1000000.0,0.5
122,28164,10829,900,6400,5,1000000.0,0.5
123,28319,10597,900,6400,6,1000000.0,0.5
124,27931,10606,900,6400,7,1000000.0,0.5
125,27961,10601,900,6400,8,1000000.0,0.5
126,16541,13741,3000,100,0,1000000.0,0.5
127,16473,13771,3000,100,1,1000000.0,0.5
128,16490,13833,3000,100,2,1000000.0,0.5
129,16455,13865,3000,100,3,1000000.0,0.5
130,16197,13823,3000,100,4,1000000.0,0.5
131,16468,13859,3000,100,5,1000000.0,0.5
132,16384,13922,3000,100,6,1000000.0,0.5
133,16503,13807,3000,100,7,1000000.0,0.5
134,16252,14070,3000,100,8,1000000.0,0.5
135,17615,13338,3000,200,0,1000000.0,0.5
136,17571,13446,3000,200,1,1000000.0,0.5
137,17314,13253,3000,200,2,1000000.0,0.5
138,17397,13513,3000,200,3,1000000.0,0.5
139,17580,13343,3000,200,4,1000000.0,0.5
140,17524,13561,3000,200,5,1000000.0,0.5
141,17454,13352,3000,200,6,1000000.0,0.5
142,17628,13399,3000,200,7,1000000.0,0.5
143,17507,13424,3000,200,8,1000000.0,0.5
144,19411,12927,3000,400,0,1000000.0,0.5
145,19861,12803,3000,400,1,1000000.0,0.5
146,19793,12872,3000,400,2,1000000.0,0.5
147,19566,12973,3000,400,3,1000000.0,0.5
148,19573,12701,3000,400,4,1000000.0,0.5
149,19547,12823,3000,400,5,1000000.0,0.5
150,19521,12742,3000,400,6,1000000.0,0.5
151,19453,12753,3000,400,7,1000000.0,0.5
152,19448,12789,3000,400,8,1000000.0,0.5
153,22180,12071,3000,800,0,1000000.0,0.5
154,22260,12002,3000,800,1,1000000.0,0.5
155,22575,12085,3000,800,2,1000000.0,0.5
156,22407,12290,3000,800,3,1000000.0,0.5
157,22489,12124,3000,800,4,1000000.0,0.5
158,22378,11921,3000,800,5,1000000.0,0.5
159,22281,12016,3000,800,6,1000000.0,0.5
160,22328,11838,3000,800,7,1000000.0,0.5
161,22241,11871,3000,800,8,1000000.0,0.5
162,25537,11269,3000,1600,0,1000000.0,0.5
163,25362,11298,3000,1600,1,1000000.0,0.5
164,25634,11406,3000,1600,2,1000000.0,0.5
165,25336,11291,3000,1600,3,1000000.0,0.5
166,25622,11264,3000,1600,4,1000000.0,0.5
167,25647,11069,3000,1600,5,1000000.0,0.5
168,25767,11264,3000,1600,6,1000000.0,0.5
169,25525,11350,3000,1600,7,1000000.0,0.5
170,25476,11200,3000,1600,8,1000000.0,0.5
171,27430,10772,3000,3200,0,1000000.0,0.5
172,27613,10774,3000,3200,1,1000000.0,0.5
173,27722,10661,3000,3200,2,1000000.0,0.5
174,27384,10853,3000,3200,3,1000000.0,0.5
175,27568,10647,3000,3200,4,1000000.0,0.5
176,27614,10704,3000,3200,5,1000000.0,0.5
177,27547,10699,3000,3200,6,1000000.0,0.5
178,27762,10840,3000,3200,7,1000000.0,0.5
179,27434,10901,3000,3200,8,1000000.0,0.5
180,28090,10725,3000,6400,0,1000000.0,0.5
181,27972,10696,3000,6400,1,1000000.0,0.5
182,27976,10491,3000,6400,2,1000000.0,0.5
183,28199,10800,3000,6400,3,1000000.0,0.5
