,x,y,delay_time_ns,diff_time_ns,entry,polarization
0,46987,24369,100,450,0,0.31697404563036047
1,52236,22883,200,450,0,0.3907533380369813
2,55740,21969,400,450,0,0.4345828668493997
3,56901,21729,800,450,0,0.44731018695154523
4,57699,21389,1600,450,0,0.4591088407849484
5,57286,21567,3200,450,0,0.45298213130762305
6,57010,21741,6400,450,0,0.44785463041739154
7,47087,24232,100,450,1,0.32046158807610875
8,52543,22854,200,450,1,0.39376898285077655
9,55837,22078,400,450,1,0.4332798562536097
10,57300,21824,800,450,1,0.4483595369293767
11,57194,21518,1600,450,1,0.45324728122776703
12,57186,21642,3200,450,1,0.4509057695235196
13,56845,21557,6400,450,1,0.45009055891431343
14,47142,24166,100,450,2,0.3222078869131093
15,52244,23287,200,450,2,0.38337900994293733
16,56053,21964,400,450,2,0.4369432303215966
17,57050,21827,800,450,2,0.4465560302749851
18,57220,21686,1600,450,2,0.4503333079867184
19,56938,21667,3200,450,2,0.44871191400038163
20,56977,21583,6400,450,2,0.4505346232179226
21,40144,25672,100,900,0,0.21988574206879785
22,44813,24231,200,900,0,0.2980997624703088
23,50952,22805,400,900,0,0.3816180159171333
24,55024,21679,800,900,0,0.4347287589794402
25,56604,21529,1600,900,0,0.4489140312032048
26,56469,21142,3200,900,0,0.45518032237698264
27,56193,21376,6400,900,0,0.4488519898413026
28,40267,25429,100,900,1,0.22585849975645397
29,44934,24360,200,900,1,0.2969088232747424
30,50846,22666,400,900,1,0.38333877462183047
31,55333,21747,800,900,1,0.435729112610275
32,56577,21269,1600,900,1,0.4535621611900419
33,56781,21497,3200,900,1,0.45075244640895273
34,56103,21353,6400,900,1,0.44864180954348276
35,40222,25457,100,900,2,0.22480549338449124
36,45131,24249,200,900,2,0.30098010954165466
37,50657,23091,400,900,2,0.3737864077669903
38,54999,21820,800,900,2,0.43191137609185226
39,56581,21619,1600,900,2,0.4470843989769821
40,56606,21293,3200,900,2,0.45331775760921195
41,56407,21569,6400,900,2,0.44677849594747104
42,33014,27512,100,3000,0,0.09090308297260681
43,35186,26784,200,3000,0,0.13558173309665966
44,39272,25730,400,3000,0,0.2083320513214978
45,44440,24073,800,3000,0,0.29727205055974776
46,50899,22567,1600,3000,0,0.3856477826477554
47,55043,21546,3200,3000,0,0.4373604564624163
48,56062,21421,6400,3000,0,0.4470787140404992
49,32945,27698,100,3000,1,0.08652276437511337
50,34711,26766,200,3000,1,0.1292353237796249
51,39359,25845,400,3000,1,0.2072572234832219
52,44982,24375,800,3000,1,0.2971149271162247
53,50970,22697,1600,3000,1,0.38379464346315173
54,55106,21514,3200,3000,1,0.43842338814930826
55,56175,21291,6400,3000,1,0.4503136860041825
56,32665,27682,100,3000,2,0.08257245596301391
57,35104,26904,200,3000,2,0.1322410011611405
58,39120,25524,400,3000,2,0.21032114349359568
59,44867,24045,800,3000,2,0.3021534710935686
60,51269,22333,1600,3000,2,0.39314149072036086
61,55182,21351,3200,3000,2,0.4420446082082239
62,55797,21123,6400,3000,2,0.45078003120124804
63,40347,25914,100,450+3000,0,0.21782043736134377
64,43592,24951,200,450+3000,0,0.2719606670265381
65,47624,23773,400,450+3000,0,0.33406165525162124
66,50838,23005,800,450+3000,0,0.376921306014111
67,54610,22103,1600,450+3000,0,0.42374825648847003
68,56126,21427,3200,450+3000,0,0.4474230526220778
69,57072,21643,6400,450+3000,0,0.4500921044273645
70,40077,25833,100,450+3000,1,0.2161128812016386
71,43831,24826,200,450+3000,1,0.2768108131727282
72,47527,23765,400,450+3000,1,0.3333052796947764
73,50744,22608,800,450+3000,1,0.3835750899770967
74,53998,22332,1600,450+3000,1,0.41485654395388444
75,56290,21556,3200,450+3000,1,0.4461886288312823
76,56288,21190,6400,450+3000,1,0.45300601461059914
77,39943,26171,100,450+3000,2,0.20830686390174546
78,43642,25077,200,450+3000,2,0.2701581804158966
79,47335,23857,400,450+3000,2,0.3297842454208338
80,50680,22733,800,450+3000,2,0.38068189557707766
81,53917,22044,1600,450+3000,2,0.41959689840839376
82,56181,21599,3200,450+3000,2,0.44461301105682693
83,56123,21333,6400,450+3000,2,0.4491582317702954
