,x,y,diff_time_ns,delay_time_ns,replicate,n_fluorophores,triplet_QY
0,2341,1158,450,100,0,100000.0,0.5
1,2333,1232,450,100,1,100000.0,0.5
2,2312,1195,450,100,2,100000.0,0.5
3,2334,1226,450,100,3,100000.0,0.5
4,2326,1222,450,100,4,100000.0,0.5
5,2390,1227,450,100,5,100000.0,0.5
6,2386,1194,450,100,6,100000.0,0.5
7,2378,1256,450,100,7,100000.0,0.5
8,2366,1234,450,100,8,100000.0,0.5
9,2599,1127,450,200,0,100000.0,0.5
10,2575,1163,450,200,1,100000.0,0.5
11,2587,1166,450,200,2,100000.0,0.5
12,2611,1179,450,200,3,100000.0,0.5
13,2677,1164,450,200,4,100000.0,0.5
14,2586,1132,450,200,5,100000.0,0.5
15,2602,1188,450,200,6,100000.0,0.5
16,2579,1218,450,200,7,100000.0,0.5
17,2607,1098,450,200,8,100000.0,0.5
18,2754,1067,450,400,0,100000.0,0.5
19,2835,1071,450,400,1,100000.0,0.5
20,2798,1055,450,400,2,100000.0,0.5
21,2726,1141,450,400,3,100000.0,0.5
22,2915,1113,450,400,4,100000.0,0.5
23,2774,1131,450,400,5,100000.0,0.5
24,2803,1103,450,400,6,100000.0,0.5
25,2841,1106,450,400,7,100000.0,0.5
26,2784,1048,450,400,8,100000.0,0.5
27,2791,1036,450,800,0,100000.0,0.5
28,2888,1069,450,800,1,100000.0,0.5
29,2793,1039,450,800,2,100000.0,0.5
30,2871,1052,450,800,3,100000.0,0.5
31,2853,1086,450,800,4,100000.0,0.5
32,2833,1091,450,800,5,100000.0,0.5
33,2939,1043,450,800,6,100000.0,0.5
34,2827,1085,450,800,7,100000.0,0.5
35,2838,1060,450,800,8,100000.0,0.5
36,2906,1123,450,1600,0,100000.0,0.5
37,2888,1103,450,1600,1,100000.0,0.5
38,2868,1123,450,1600,2,100000.0,0.5
39,2863,1068,450,1600,3,100000.0,0.5
40,2891,1063,450,1600,4,100000.0,0.5
41,2857,1049,450,1600,5,100000.0,0.5
42,2805,1081,450,1600,6,100000.0,0.5
43,2990,1082,450,1600,7,100000.0,0.5
44,2934,1082,450,1600,8,100000.0,0.5
45,2785,1072,450,3200,0,100000.0,0.5
46,2885,1070,450,3200,1,100000.0,0.5
