,diffusion_time_ns,delay_ns,counts_x,counts_y,replicate
0,450,100,6207,3916,0
1,450,200,10745,5511,0
2,450,400,13370,6297,0
3,450,800,14303,6522,0
4,450,1600,14817,6688,0
5,450,3200,14779,6724,0
6,450,6400,14860,6760,0
7,450,100,6033,3902,1
8,450,200,10740,5516,1
9,450,400,13199,6362,1
10,450,800,14118,6540,1
11,450,1600,14433,6679,1
12,450,3200,14884,6730,1
13,450,6400,14658,6872,1
14,450,100,6181,3831,2
15,450,200,10912,5687,2
16,450,400,13220,6183,2
17,450,800,14421,6543,2
18,450,1600,14589,6833,2
19,450,3200,14703,6745,2
20,450,6400,14855,6678,2
21,450,100,6241,3822,3
22,450,200,10902,5461,3
23,450,400,13375,6267,3
24,450,800,14335,6513,3
25,450,1600,14754,6589,3
26,450,3200,14747,6728,3
27,450,6400,14858,6707,3
28,450,100,6209,3858,4
29,450,200,10950,5539,4
30,450,400,13305,6337,4
31,450,800,14422,6542,4
32,450,1600,14567,6801,4
33,450,3200,14883,6626,4
34,450,6400,14982,6758,4
35,450,100,6151,3914,5
36,450,200,11016,5642,5
37,450,400,13154,6219,5
38,450,800,14030,6591,5
39,450,1600,14519,6741,5
40,450,3200,14752,6827,5
41,450,6400,14710,6844,5
42,450,100,6128,3886,6
43,450,200,10754,5511,6
44,450,400,13315,6133,6
45,450,800,14281,6547,6
46,450,1600,14552,6518,6
47,450,3200,14707,6771,6
48,450,6400,14919,6835,6
49,450,100,6160,3917,7
50,450,200,10904,5554,7
51,450,400,13150,6262,7
52,450,800,14038,6552,7
53,450,1600,14661,6642,7
54,450,3200,14850,6765,7
55,450,6400,14722,6837,7
56,450,100,5994,3925,8
57,450,200,10870,5530,8
58,450,400,13218,6284,8
59,450,800,14135,6558,8
60,450,1600,14513,6751,8
61,450,3200,14911,6788,8
62,450,6400,14619,6694,8
63,450,100,6173,3919,9
64,450,200,10959,5564,9
65,450,400,13201,6218,9
66,450,800,14204,6481,9
67,450,1600,14643,6760,9
