,diffusion_time_ns,delay_us,crescent_saturation,counts_x,counts_y,replicate
0,21746,60,0.01,5108,11349,0
1,21746,60,0.01,5208,11497,1
2,21746,60,0.01,5154,11435,2
3,21746,60,0.01,5175,11397,3
4,21746,60,0.01,5202,11279,4
5,21746,60,0.01,5063,11374,5
6,21746,60,0.05,4949,10876,0
7,21746,60,0.05,4844,10971,1
8,21746,60,0.05,4960,10848,2
9,21746,60,0.05,4949,10930,3
10,21746,60,0.05,4961,10842,4
11,21746,60,0.05,4936,10752,5
12,21746,60,0.25,4157,8986,0
13,21746,60,0.25,4095,8994,1
14,21746,60,0.25,4054,9061,2
15,21746,60,0.25,4134,8999,3
16,21746,60,0.25,4050,9164,4
17,21746,60,0.25,3986,8948,5
18,21746,60,1.25,2703,5699,0
19,21746,60,1.25,2585,5646,1
20,21746,60,1.25,2614,5709,2
21,21746,60,1.25,2547,5701,3
22,21746,60,1.25,2571,5828,4
23,21746,60,1.25,2500,5697,5
24,21746,60,6.25,1318,2959,0
25,21746,60,6.25,1378,2891,1
26,21746,60,6.25,1312,2915,2
27,21746,60,6.25,1311,2863,3
28,21746,60,6.25,1303,2933,4
29,21746,60,6.25,1347,2880,5
30,21746,120,0.01,4831,10988,0
31,21746,120,0.01,4917,10687,1
32,21746,120,0.01,4971,10633,2
33,21746,120,0.01,4715,10824,3
34,21746,120,0.01,4938,10702,4
35,21746,120,0.01,4886,10560,5
36,21746,120,0.05,4835,10102,0
37,21746,120,0.05,4685,10387,1
38,21746,120,0.05,4562,10311,2
39,21746,120,0.05,4721,10267,3
40,21746,120,0.05,4569,10404,4
41,21746,120,0.05,4584,10397,5
42,21746,120,0.25,3776,8550,0
43,21746,120,0.25,3876,8628,1
44,21746,120,0.25,3795,8576,2
45,21746,120,0.25,3805,8534,3
46,21746,120,0.25,3821,8466,4
47,21746,120,0.25,3879,8475,5
48,21746,120,1.25,2404,5232,0
49,21746,120,1.25,2488,5488,1
50,21746,120,1.25,2442,5443,2
51,21746,120,1.25,2477,5408,3
52,21746,120,1.25,2424,5353,4
53,21746,120,1.25,2425,5554,5
54,21746,120,6.25,1243,2828,0
55,21746,120,6.25,1255,2810,1
56,21746,120,6.25,1232,2796,2
57,21746,120,6.25,1251,2900,3
58,21746,120,6.25,1196,2742,4
59,21746,120,6.25,1229,2810,5
60,21746,180,0.01,4576,10049,0
61,21746,180,0.01,4451,10151,1
62,21746,180,0.01,4576,10004,2
63,21746,180,0.01,4541,10138,3
64,21746,180,0.01,4566,10267,4
65,21746,180,0.01,4646,10212,5
66,21746,180,0.05,4297,9675,0
67,21746,180,0.05,4342,9708,1
68,21746,180,0.05,4384,9628,2
69,21746,180,0.05,4480,9582,3
70,21746,180,0.05,4429,9532,4
71,21746,180,0.05,4367,9642,5
72,21746,180,0.25,3603,8057,0
73,21746,180,0.25,3517,7898,1
74,21746,180,0.25,3610,7889,2
75,21746,180,0.25,3688,8060,3
76,21746,180,0.25,3651,8038,4
77,21746,180,0.25,3605,8033,5
78,21746,180,1.25,2314,5095,0
79,21746,180,1.25,2259,5082,1
80,21746,180,1.25,2343,5023,2
81,21746,180,1.25,2227,4985,3
82,21746,180,1.25,2309,5195,4
83,21746,180,1.25,2279,5060,5
84,21746,180,6.25,1140,2594,0
85,21746,180,6.25,1169,2435,1
86,21746,180,6.25,1253,2641,2
87,21746,180,6.25,1223,2508,3
88,21746,180,6.25,1129,2596,4
89,21746,180,6.25,1288,2574,5
90,21746,240,0.01,4166,9582,0
91,21746,240,0.01,4255,9596,1
92,21746,240,0.01,4323,9407,2
93,21746,240,0.01,4267,9502,3
94,21746,240,0.01,4385,9489,4
95,21746,240,0.01,4262,9536,5
96,21746,240,0.05,4128,9115,0
97,21746,240,0.05,4102,9242,1
98,21746,240,0.05,4114,9131,2
99,21746,240,0.05,4142,9101,3
100,21746,240,0.05,4064,9199,4
101,21746,240,0.05,4112,9016,5
102,21746,240,0.25,3362,7520,0
103,21746,240,0.25,3441,7654,1
104,21746,240,0.25,3360,7604,2
105,21746,240,0.25,3356,7651,3
106,21746,240,0.25,3418,7438,4
107,21746,240,0.25,3293,7664,5
108,21746,240,1.25,2105,4728,0
109,21746,240,1.25,2133,4726,1
110,21746,240,1.25,2104,4651,2
111,21746,240,1.25,2112,4755,3
112,21746,240,1.25,2115,4768,4
113,21746,240,1.25,2117,4773,5
114,21746,240,6.25,1133,2471,0
115,21746,240,6.25,1119,2391,1
116,21746,240,6.25,1086,2433,2
117,21746,240,6.25,1122,2507,3
118,21746,240,6.25,1141,2424,4
119,21746,240,6.25,1069,2386,5
120,21746,300,0.01,4074,8955,0
121,21746,300,0.01,4091,9055,1
122,21746,300,0.01,4086,9061,2
123,21746,300,0.01,4084,9287,3
124,21746,300,0.01,4107,9111,4
125,21746,300,0.01,4008,9085,5
126,21746,300,0.05,3735,8716,0
127,21746,300,0.05,3961,8732,1
128,21746,300,0.05,3939,8515,2
129,21746,300,0.05,4052,8472,3
130,21746,300,0.05,3940,8507,4
131,21746,300,0.05,3794,8572,5
132,21746,300,0.25,3262,6965,0
133,21746,300,0.25,3199,7238,1
134,21746,300,0.25,3111,7199,2
135,21746,300,0.25,3225,7114,3
136,21746,300,0.25,3295,7172,4
137,21746,300,0.25,3268,7016,5
138,21746,300,1.25,2029,4572,0
139,21746,300,1.25,1991,4381,1
140,21746,300,1.25,1974,4444,2
141,21746,300,1.25,2042,4503,3
142,21746,300,1.25,2040,4494,4
143,21746,300,1.25,2114,4502,5
144,21746,300,6.25,1057,2262,0
145,21746,300,6.25,979,2330,1
146,21746,300,6.25,1028,2266,2
147,21746,300,6.25,1014,2285,3
148,21746,300,6.25,1041,2178,4
149,21746,300,6.25,1060,2295,5
150,21746,360,0.01,3795,8628,0
151,21746,360,0.01,3834,8540,1
152,21746,360,0.01,3877,8423,2
153,21746,360,0.01,3895,8450,3
154,21746,360,0.01,3732,8325,4
155,21746,360,0.01,3768,8426,5
156,21746,360,0.05,3641,8128,0
