,diffusion_time_ns,delay_us,counts_x,counts_y,replicate
0,21746,60,5181,11503,0
1,21746,60,5318,11568,1
2,21746,60,5235,11683,2
3,21746,60,5198,11714,3
4,21746,60,5294,11397,4
5,21746,60,5314,11581,5
6,21746,60,5187,11694,6
7,21746,60,5117,11651,7
8,21746,60,5260,11631,8
9,21746,60,5314,11658,9
10,21746,60,5287,11504,10
11,21746,60,5062,11587,11
12,21746,120,4909,11036,0
13,21746,120,4916,11070,1
14,21746,120,4927,10946,2
15,21746,120,4904,10987,3
16,21746,120,4905,10868,4
17,21746,120,4939,10964,5
18,21746,120,4968,10696,6
19,21746,120,4903,10848,7
20,21746,120,4987,10776,8
21,21746,120,4906,10848,9
22,21746,120,4888,10760,10
23,21746,120,4911,10879,11
24,21746,180,4627,10305,0
25,21746,180,4555,10299,1
26,21746,180,4524,10354,2
27,21746,180,4670,10423,3
28,21746,180,4544,10349,4
29,21746,180,4532,10268,5
30,21746,180,4690,10242,6
31,21746,180,4654,10171,7
32,21746,180,4739,10382,8
33,21746,180,4705,10084,9
34,21746,180,4594,10245,10
35,21746,180,4682,10128,11
36,21746,240,4342,9771,0
37,21746,240,4311,9597,1
38,21746,240,4453,9545,2
39,21746,240,4356,9572,3
40,21746,240,4366,9752,4
41,21746,240,4435,9442,5
42,21746,240,4331,9620,6
43,21746,240,4362,9596,7
44,21746,240,4373,9790,8
45,21746,240,4330,9735,9
46,21746,240,4363,9975,10
47,21746,240,4349,9609,11
48,21746,300,4113,9091,0
49,21746,300,4063,8991,1
50,21746,300,4218,9161,2
51,21746,300,4241,8974,3
52,21746,300,4131,9166,4
53,21746,300,4071,9170,5
54,21746,300,4164,8967,6
55,21746,300,4169,9232,7
56,21746,300,4111,9073,8
57,21746,300,4185,9060,9
58,21746,300,4144,9177,10
59,21746,300,3980,9041,11
60,21746,360,3914,8618,0
61,21746,360,3933,8509,1
62,21746,360,3851,8535,2
63,21746,360,3892,8497,3
64,21746,360,3787,8545,4
65,21746,360,3907,8481,5
66,21746,360,3858,8478,6
67,21746,360,3773,8435,7
68,21746,360,3812,8525,8
69,21746,360,3777,8559,9
70,21746,360,3982,8620,10
71,21746,360,3843,8583,11
72,21746,420,3683,8139,0
73,21746,420,3634,8006,1
74,21746,420,3666,8213,2
75,21746,420,3579,8194,3
76,21746,420,3652,8053,4
77,21746,420,3604,8142,5
78,21746,420,3635,8017,6
79,21746,420,3646,8251,7
80,21746,420,3607,8037,8
81,21746,420,3655,8023,9
82,21746,420,3660,8218,10
83,21746,420,3539,8213,11
84,21746,480,3487,7613,0
85,21746,480,3419,7443,1
86,21746,480,3491,7608,2
87,21746,480,3376,7679,3
88,21746,480,3529,7620,4
89,21746,480,3342,7667,5
90,21746,480,3548,7343,6
91,21746,480,3452,7601,7
92,21746,480,3495,7461,8
93,21746,480,3447,7566,9
94,21746,480,3482,7586,10
95,21746,480,3452,7508,11
96,21746,540,3135,7188,0
97,21746,540,3235,7181,1
98,21746,540,3350,7167,2
99,21746,540,3201,7032,3
100,21746,540,3126,7230,4
101,21746,540,3251,7112,5
102,21746,540,3257,7088,6
103,21746,540,3279,7255,7
104,21746,540,3251,7196,8
105,21746,540,3212,7114,9
106,21746,540,3206,7109,10
107,21746,540,3261,7144,11
108,21746,600,3057,6812,0
109,21746,600,3126,6784,1
110,21746,600,3121,6682,2
111,21746,600,3044,6839,3
112,21746,600,3127,6795,4
113,21746,600,3049,6749,5
114,21746,600,2960,6709,6
115,21746,600,2962,6810,7
116,21746,600,3089,6971,8
117,21746,600,3016,6872,9
118,21746,600,3031,6753,10
119,21746,600,3175,6834,11
120,21746,660,2804,6311,0
121,21746,660,2880,6418,1
122,21746,660,2923,6605,2
123,21746,660,2894,6333,3
124,21746,660,2944,6425,4
125,21746,660,2871,6365,5
126,21746,660,2867,6268,6
127,21746,660,2883,6350,7
128,21746,660,2747,6351,8
129,21746,660,2834,6316,9
130,21746,660,2984,6368,10
131,21746,660,3038,6466,11
132,21746,720,2758,5969,0
133,21746,720,2725,6016,1
134,21746,720,2698,5931,2
135,21746,720,2683,5930,3
136,21746,720,2709,6113,4
137,21746,720,2742,6083,5
138,21746,720,2718,5968,6
139,21746,720,2661,5970,7
140,21746,720,2778,5974,8
141,21746,720,2750,5960,9
142,21746,720,2711,6002,10
143,21746,720,2747,6017,11
144,21746,780,2508,5694,0
145,21746,780,2636,5787,1
146,21746,780,2544,5516,2
147,21746,780,2660,5585,3
148,21746,780,2584,5656,4
149,21746,780,2563,5516,5
150,21746,780,2603,5597,6
151,21746,780,2504,5640,7
152,21746,780,2594,5575,8
153,21746,780,2576,5572,9
154,21746,780,2569,5608,10
155,21746,780,2521,5668,11
156,21746,840,2346,5255,0
157,21746,840,2504,5490,1
158,21746,840,2427,5442,2
159,21746,840,2382,5252,3
160,21746,840,2292,5338,4
161,21746,840,2369,5190,5
162,21746,840,2421,5204,6
163,21746,840,2412,5407,7
164,21746,840,2416,5407,8
165,21746,840,2444,5304,9
166,21746,840,2375,5268,10
167,21746,840,2477,5308,11
168,21746,900,2220,4928,0
169,21746,900,2167,5016,1
170,21746,900,2255,4924,2
171,21746,900,2256,4962,3
172,21746,900,2321,4921,4
173,21746,900,2298,4932,5
174,21746,900,2315,5092,6
175,21746,900,2320,4979,7
176,21746,900,2293,4883,8
177,21746,900,2236,4987,9
178,21746,900,2303,5099,10
179,21746,900,2397,4991,11
180,73394,60,5350,11266,0
181,73394,60,5365,11210,1
182,73394,60,5317,11269,2
183,73394,60,5488,11079,3
184,73394,60,5344,11155,4
185,73394,60,5342,11265,5
186,73394,60,5390,11101,6
187,73394,60,5447,11140,7
188,73394,60,5397,11040,8
189,73394,60,5373,11155,9
190,73394,60,5334,11311,10
191,73394,60,5414,11323,11
192,73394,120,4973,10795,0
193,73394,120,4946,10777,1
194,73394,120,4886,10841,2
195,73394,120,4892,10748,3
196,73394,120,4911,10731,4
197,73394,120,4893,10785,5
198,73394,120,4947,10902,6
199,73394,120,4981,10965,7
200,73394,120,4933,10801,8
201,73394,120,4928,10891,9
202,73394,120,4986,10996,10
203,73394,120,4976,10855,11
204,73394,180,4647,10340,0
205,73394,180,4689,10142,1
206,73394,180,4606,10350,2
207,73394,180,4645,10431,3
208,73394,180,4610,10263,4
209,73394,180,4753,10299,5
210,73394,180,4613,10230,6
211,73394,180,4661,10267,7
212,73394,180,4721,10103,8
213,73394,180,4643,10203,9
214,73394,180,4674,10238,10
215,73394,180,4649,10292,11
216,73394,240,4335,9705,0
217,73394,240,4499,9753,1
218,73394,240,4343,9476,2
219,73394,240,4398,9888,3
220,73394,240,4421,9705,4
221,73394,240,4288,9700,5
222,73394,240,4376,9651,6
223,73394,240,4360,9820,7
224,73394,240,4298,9677,8
225,73394,240,4336,9704,9
226,73394,240,4310,9763,10
227,73394,240,4276,9569,11
228,73394,300,3983,9054,0
229,73394,300,4086,9178,1
230,73394,300,4132,8928,2
231,73394,300,4184,9112,3
232,73394,300,4087,9015,4
233,73394,300,4177,9015,5
234,73394,300,4056,9113,6
235,73394,300,3965,9029,7
236,73394,300,4118,9137,8
237,73394,300,4111,8927,9
238,73394,300,4175,9116,10
239,73394,300,4112,8999,11
240,73394,360,3854,8610,0
241,73394,360,3925,8569,1
242,73394,360,3878,8617,2
243,73394,360,3818,8569,3
244,73394,360,4000,8387,4
245,73394,360,3878,8595,5
246,73394,360,3922,8630,6
247,73394,360,3848,8623,7
248,73394,360,3879,8762,8
249,73394,360,3793,8460,9
250,73394,360,3799,8456,10
251,73394,360,3810,8481,11
252,73394,420,3692,8105,0
253,73394,420,3646,8142,1
254,73394,420,3682,8272,2
255,73394,420,3663,8058,3
256,73394,420,3647,8019,4
257,73394,420,3691,7933,5
258,73394,420,3727,7919,6
259,73394,420,3454,8042,7
260,73394,420,3675,8119,8
261,73394,420,3798,8058,9
262,73394,420,3589,8049,10
263,73394,420,3799,8092,11
264,73394,480,3423,7679,0
265,73394,480,3513,7654,1
266,73394,480,3432,7629,2
267,73394,480,3427,7693,3
268,73394,480,3442,7459,4
269,73394,480,3524,7670,5
270,73394,480,3346,7560,6
271,73394,480,3504,7394,7
272,73394,480,3438,7533,8
273,73394,480,3467,7652,9
274,73394,480,3370,7569,10
275,73394,480,3399,7595,11
276,73394,540,3295,7244,0
277,73394,540,3184,7079,1
278,73394,540,3279,7160,2
279,73394,540,3105,7119,3
280,73394,540,3247,7220,4
281,73394,540,3325,7180,5
282,73394,540,3275,7181,6
283,73394,540,3269,7084,7
284,73394,540,3271,7102,8
285,73394,540,3194,7100,9
286,73394,540,3152,7113,10
287,73394,540,3255,7117,11
288,73394,600,3016,6787,0
289,73394,600,3093,6694,1
290,73394,600,3111,6808,2
291,73394,600,3108,6624,3
292,73394,600,3085,6694,4
293,73394,600,2977,6639,5
294,73394,600,2984,6835,6
295,73394,600,3019,6757,7
296,73394,600,3092,6713,8
297,73394,600,3035,6804,9
298,73394,600,3043,6677,10
299,73394,600,3088,6810,11
300,73394,660,2780,6370,0
301,73394,660,2964,6320,1
302,73394,660,2949,6394,2
303,73394,660,2891,6351,3
304,73394,660,2879,6382,4
305,73394,660,2839,6424,5
306,73394,660,2841,6472,6
307,73394,660,2852,6293,7
308,73394,660,2977,6296,8
309,73394,660,2817,6503,9
310,73394,660,2870,6335,10
311,73394,660,2820,6205,11
312,73394,720,2689,5978,0
313,73394,720,2688,5794,1
314,73394,720,2756,6071,2
315,73394,720,2729,5964,3
316,73394,720,2654,5884,4
317,73394,720,2748,5978,5
318,73394,720,2695,5986,6
319,73394,720,2659,6065,7
320,73394,720,2704,6038,8
321,73394,720,2669,5989,9
322,73394,720,2720,5928,10
323,73394,720,2669,5978,11
324,73394,780,2530,5536,0
325,73394,780,2477,5648,1
326,73394,780,2549,5660,2
327,73394,780,2512,5743,3
328,73394,780,2527,5655,4
329,73394,780,2521,5710,5
330,73394,780,2527,5638,6
331,73394,780,2553,5538,7
332,73394,780,2592,5513,8
333,73394,780,2603,5697,9
334,73394,780,2595,5564,10
335,73394,780,2494,5592,11
336,73394,840,2290,5349,0
337,73394,840,2424,5210,1
338,73394,840,2381,5289,2
339,73394,840,2392,5299,3
340,73394,840,2445,5242,4
341,73394,840,2453,5454,5
342,73394,840,2485,5168,6
343,73394,840,2391,5313,7
344,73394,840,2447,5267,8
345,73394,840,2475,5398,9
346,73394,840,2393,5321,10
347,73394,840,2466,5387,11
348,73394,900,2152,5088,0
349,73394,900,2219,5012,1
350,73394,900,2276,4923,2
351,73394,900,2206,5110,3
352,73394,900,2238,4859,4
353,73394,900,2353,5038,5
354,73394,900,2260,4917,6
355,73394,900,2273,4879,7
356,73394,900,2300,5024,8
357,73394,900,2255,4992,9
358,73394,900,2280,5022,10
359,73394,900,2336,4951,11
360,339789,60,6321,8646,0
361,339789,60,6450,8855,1
362,339789,60,6225,8548,2
363,339789,60,6396,8891,3
364,339789,60,6308,8845,4
365,339789,60,6421,8678,5
366,339789,60,6267,8847,6
367,339789,60,6354,8688,7
368,339789,60,6374,8878,8
369,339789,60,6404,8731,9
370,339789,60,6422,8724,10
371,339789,60,6343,8827,11
372,339789,120,5655,9220,0
373,339789,120,5531,9253,1
374,339789,120,5626,9379,2
375,339789,120,5551,9391,3
376,339789,120,5409,9346,4
377,339789,120,5347,9454,5
378,339789,120,5677,9242,6
379,339789,120,5423,9365,7
380,339789,120,5469,9305,8
381,339789,120,5433,9283,9
382,339789,120,5463,9318,10
383,339789,120,5459,9295,11
384,339789,180,5064,9280,0
385,339789,180,4978,9433,1
386,339789,180,4992,9527,2
387,339789,180,4889,9241,3
388,339789,180,4947,9410,4
389,339789,180,4950,9541,5
390,339789,180,4987,9314,6
391,339789,180,4887,9548,7
392,339789,180,4958,9581,8
393,339789,180,4956,9285,9
394,339789,180,5002,9225,10
395,339789,180,5051,9590,11
396,339789,240,4566,9200,0
397,339789,240,4446,9024,1
398,339789,240,4595,9283,2
399,339789,240,4515,9287,3
400,339789,240,4534,9267,4
401,339789,240,4471,9139,5
402,339789,240,4492,9157,6
403,339789,240,4509,8994,7
404,339789,240,4568,9133,8
405,339789,240,4525,9021,9
406,339789,240,4570,9230,10
407,339789,240,4670,9032,11
408,339789,300,4255,8939,0
409,339789,300,4410,8781,1
410,339789,300,4165,8537,2
411,339789,300,4261,8800,3
412,339789,300,4225,8912,4
413,339789,300,4192,8820,5
414,339789,300,4236,8850,6
415,339789,300,4173,8793,7
416,339789,300,4145,8759,8
417,339789,300,4198,8940,9
