,Radius [nm],Relative frequency [%],S.D.,bead_diam_nm
0,0.533669949,0.0,0.0,40
1,0.613590717,0.0,0.0,40
2,0.705480218,0.0,0.0,40
3,0.811130822,0.0,0.0,40
4,0.9326033,0.0,0.0,40
5,1.072267294,0.0,0.0,40
6,1.232846737,0.0,0.0,40
7,1.417474151,0.0,0.0,40
8,1.629750848,0.0,0.0,40
9,1.873817325,0.0,0.0,40
10,2.154434681,0.0,0.0,40
11,2.477076292,0.0,0.0,40
12,2.848035812,0.0,0.0,40
13,3.274549007,0.0,0.0,40
14,3.76493597,0.0,0.0,40
15,4.328761578,0.0,0.0,40
16,4.977023602,0.0,0.0,40
17,5.722367287,0.0,0.0,40
18,6.579332352,0.0,0.0,40
19,7.564633369,0.0,0.0,40
20,8.697489738,0.0,0.0,40
21,10.0,0.0,0.0,40
22,11.49757004,0.006040408,0.019101448,40
23,13.2194109,0.730695426,0.611599386,40
24,15.19911098,4.091689587,0.729554594,40
25,17.47528267,9.296075821,0.626116633,40
26,20.09232903,14.44436264,1.105349064,40
27,23.10129738,17.69888687,1.539261818,40
28,26.56087875,18.00324249,1.485407591,40
29,30.53855515,15.37215424,1.070894241,40
30,35.11191559,10.80179405,1.025491357,40
31,40.37017059,5.875225544,1.393760681,40
32,46.41588974,2.153713942,1.34927702,40
33,53.36699295,0.449848413,0.734411001,40
34,61.35907364,0.073027238,0.170647591,40
35,70.54802704,0.0,0.0,40
36,81.11308289,0.000852023,0.002694334,40
37,93.2603302,0.028722443,0.090828337,40
38,107.2267227,0.055096507,0.174230456,40
39,123.2846756,0.067189842,0.1910889,40
40,141.7474213,0.095982067,0.203560129,40
41,162.9750824,0.149325371,0.335067689,40
42,187.3817444,0.188646674,0.4245978,40
43,215.4434662,0.174741626,0.365905374,40
44,247.7076416,0.108011976,0.205230579,40
45,284.8035889,0.044095356,0.077716485,40
46,327.4549255,0.027276253,0.052572012,40
47,376.4935608,0.025310151,0.049595296,40
48,432.8761292,0.017180532,0.045303866,40
49,497.7023315,0.007455351,0.023575891,40
50,572.2368164,0.001193802,0.003775134,40
51,657.9332275,0.002435816,0.007702725,40
52,756.4633789,0.002025576,0.006405433,40
53,869.7489624,0.0005394,0.001705733,40
54,1000.0,0.0,0.0,40
55,1149.756958,0.0,0.0,40
56,1321.941162,0.0,0.0,40
57,1519.911011,0.0,0.0,40
58,1747.52832,0.0,0.0,40
59,2009.23291,0.0,0.0,40
60,2310.129639,0.0,0.0,40
61,2656.087891,0.0,0.0,40
62,3053.855713,0.0,0.0,40
63,3511.191895,0.0,0.0,40
64,4037.017334,0.0,0.0,40
65,4641.588867,0.0,0.0,40
66,5336.699219,0.0,0.0,40
67,6135.907227,0.0,0.0,40
68,7054.802246,0.0,0.0,40
69,8111.308594,0.0,0.0,40
70,9326.033203,0.007159193,0.022639357,40
71,0.533669949,0.0,0.0,60
72,0.613590717,0.0,0.0,60
73,0.705480218,0.0,0.0,60
74,0.811130822,0.0,0.0,60
75,0.9326033,0.0,0.0,60
76,1.072267294,0.0,0.0,60
77,1.232846737,0.0,0.0,60
78,1.417474151,0.0,0.0,60
79,1.629750848,0.0,0.0,60
80,1.873817325,0.0,0.0,60
81,2.154434681,0.0,0.0,60
82,2.477076292,0.0,0.0,60
83,2.848035812,0.0,0.0,60
84,3.274549007,0.0,0.0,60
85,3.76493597,0.0,0.0,60
86,4.328761578,0.0,0.0,60
87,4.977023602,0.0,0.0,60
88,5.722367287,0.0,0.0,60
89,6.579332352,0.0,0.0,60
90,7.564633369,0.0,0.0,60
91,8.697489738,0.0,0.0,60
