,type,condition,fluorophore,a1,t1,a1_std,t1_std,a2,t2,a2_std,t2_std,t_avg
0,prompt,40nmbeads,mScarlet,288128.1330213427,1.235812371956942,2687.4791963894904,0.01699541893913258,190307.5364725115,3.2305763384584787,4957.151336826573,0.0029181356921906443,2.0292703863032564
1,triggered,40nmbeads,mScarlet,9913.610457114242,2.7585625357215693,182.7985880845461,0.0036255340742659416,,,,,
2,prompt,Carmody_IB_pH5,mScarlet,69356.75518008192,1.1559144736841367,1007.52190524907,0.019585651983950816,63327.8930243384,3.1786571660029668,1495.3088996568438,0.003020182828313665,2.1213316079827353
3,triggered,Carmody_IB_pH5,mScarlet,4837.835084443956,2.095835911332732,155.5009653261616,0.007807687910530563,,,,,
4,prompt,MES_pH6p3,mScarlet,151992.9952927081,3.390583099991521,513.7343136012055,0.0009096111022555897,,,,,
5,triggered,MES_pH6p3,mScarlet,4935.567434432506,3.5612462847651423,76.55962787985263,0.0028936555723666326,,,,,
6,prompt,PBS_pH7,mScarlet,145949.02569528235,3.515620529535968,255.73086358870822,0.00046289420268498066,,,,,
7,triggered,PBS_pH7,mScarlet,6563.401495996978,3.6474484009390564,108.0885615841882,0.00287273679063952,,,,,
8,prompt,40nmbeads,mVenus,151187.90779630805,0.7767782630674189,5881.329283767286,0.04334837651508804,91200.7771670289,2.6618211026010288,1794.9529782095747,0.003147266843156062,1.486041453239072
9,triggered,40nmbeads,mVenus,2729.82680991847,2.8383806229455573,54.5986821192694,0.003992023508444465,,,,,
10,prompt,Carmody_IB_pH5,mVenus,139170.8209272315,0.7041827606998557,7194.867236312672,0.046247497162375785,150924.13363808504,2.988547716786921,975.3958871904277,0.00107458367714605,1.892641217094748
11,triggered,Carmody_IB_pH5,mVenus,317.7614006795233,3.302690769632192,19.182589663536916,0.011516697232984948,,,,,
12,prompt,MES_pH6p3,mVenus,106705.28806861868,2.880327840320696,223.48738733811882,0.0006555763114736326,,,,,
13,triggered,MES_pH6p3,mVenus,7869.8328166713,2.991853185696155,86.68608517179514,0.00216436800232308,,,,,
14,prompt,PBS_pH7,mVenus,72422.06593764611,2.916367905278124,154.3985069691315,0.0006627102624865395,,,,,
15,triggered,PBS_pH7,mVenus,4580.002171391276,3.0490217570372344,60.78661876580729,0.0026531964613940883,,,,,
