,time_bin,A,B,date,time_ns
0,0,161.77119047619047,90.78000000000002,20230420,0.0
1,1,189.77119047619047,101.78000000000002,20230420,0.125
2,2,183.77119047619047,97.78000000000002,20230420,0.25
3,3,156.77119047619047,80.78000000000002,20230420,0.375
4,4,201.77119047619047,85.78000000000003,20230420,0.5
5,5,205.77119047619044,111.78000000000002,20230420,0.625
6,6,210.77119047619044,167.78,20230420,0.75
7,7,227.77119047619047,213.78,20230420,0.875
8,8,208.77119047619044,110.78000000000002,20230420,1.0
9,9,135.77119047619047,102.78000000000002,20230420,1.125
10,10,138.77119047619047,101.78000000000002,20230420,1.25
11,11,169.77119047619047,91.78000000000002,20230420,1.375
12,12,152.77119047619047,106.78000000000003,20230420,1.5
13,13,157.77119047619047,75.78000000000002,20230420,1.625
14,14,117.77119047619047,93.78000000000002,20230420,1.75
15,15,133.77119047619047,78.78000000000002,20230420,1.875
16,16,156.77119047619047,83.78000000000002,20230420,2.0
17,17,144.77119047619047,69.78,20230420,2.125
18,18,287.7711904761905,113.78000000000004,20230420,2.25
19,19,1045.7711904761902,425.78000000000003,20230420,2.375
20,20,1685.7711904761902,914.7799999999999,20230420,2.5
21,21,2309.7711904761904,1284.7800000000002,20230420,2.625
22,22,3041.7711904761904,1536.7800000000004,20230420,2.75
23,23,3523.7711904761904,1921.7800000000004,20230420,2.875
24,24,3551.7711904761904,1916.7800000000004,20230420,3.0
25,25,3525.7711904761904,1844.7800000000004,20230420,3.125
26,26,3571.7711904761904,1862.7800000000004,20230420,3.25
27,27,3295.7711904761904,1784.7800000000004,20230420,3.375
28,28,3219.7711904761904,1659.7800000000004,20230420,3.5
29,29,3110.7711904761904,1654.7800000000004,20230420,3.625
30,30,2944.7711904761904,1473.7800000000002,20230420,3.75
31,31,2840.7711904761904,1493.7800000000004,20230420,3.875
32,32,2736.7711904761904,1414.7800000000002,20230420,4.0
33,33,2583.7711904761904,1317.7800000000002,20230420,4.125
34,34,2549.7711904761904,1285.7800000000002,20230420,4.25
35,35,2343.7711904761904,1241.7800000000002,20230420,4.375
36,36,2275.7711904761904,1138.78,20230420,4.5
37,37,2154.7711904761904,1102.78,20230420,4.625
38,38,2046.7711904761902,1107.78,20230420,4.75
39,39,2017.7711904761902,1019.7799999999999,20230420,4.875
40,40,1868.7711904761902,1013.7799999999999,20230420,5.0
41,41,1815.7711904761902,995.78,20230420,5.125
42,42,1748.7711904761902,900.7799999999997,20230420,5.25
43,43,1646.7711904761902,834.7799999999997,20230420,5.375
44,44,1625.7711904761902,791.7799999999999,20230420,5.5
45,45,1475.7711904761902,870.7799999999997,20230420,5.625
46,46,1502.7711904761902,766.7799999999999,20230420,5.75
47,47,1366.7711904761902,739.7799999999999,20230420,5.875
48,48,1394.7711904761902,719.7799999999999,20230420,6.0
49,49,1359.7711904761902,623.7799999999999,20230420,6.125
50,50,1228.7711904761902,666.7799999999997,20230420,6.25
51,51,1188.7711904761902,632.7799999999999,20230420,6.375
52,52,1145.7711904761902,608.7799999999999,20230420,6.5
53,53,1178.7711904761902,566.7799999999999,20230420,6.625
54,54,1084.7711904761902,545.78,20230420,6.75
55,55,1035.7711904761902,508.78000000000003,20230420,6.875
56,56,971.7711904761904,541.78,20230420,7.0
57,57,975.7711904761902,456.78000000000003,20230420,7.125
