,time_ns,counts_singlet,counts_singlet_norm,fluorophore,condition,intended_signal,counts_triplet,counts_triplet_norm
0,0.0,11103.0,0.035026452021994454,mScarlet,40nmbeads,singlet,,
1,0.125,11410.0,0.035994939887503984,mScarlet,40nmbeads,singlet,,
2,0.25,11129.0,0.03510847379562067,mScarlet,40nmbeads,singlet,,
3,0.375,10629.0,0.03353113199511655,mScarlet,40nmbeads,singlet,,
4,0.5,10403.0,0.03281817350128869,mScarlet,40nmbeads,singlet,,
5,0.625,16379.0,0.05167056270091391,mScarlet,40nmbeads,singlet,,
6,0.75,73432.0,0.23165472618923685,mScarlet,40nmbeads,singlet,,
7,0.875,244271.0,0.770597717901883,mScarlet,40nmbeads,singlet,,
8,1.0,315047.0,0.993873604446842,mScarlet,40nmbeads,singlet,,
9,1.125,316989.0,1.0,mScarlet,40nmbeads,singlet,,
10,1.25,307983.0,0.9715889194893198,mScarlet,40nmbeads,singlet,,
11,1.375,295335.0,0.9316884813037677,mScarlet,40nmbeads,singlet,,
12,1.5,281832.0,0.8890907886393534,mScarlet,40nmbeads,singlet,,
13,1.625,266484.0,0.840672704731079,mScarlet,40nmbeads,singlet,,
14,1.75,251106.0,0.7921599803147743,mScarlet,40nmbeads,singlet,,
15,1.875,239435.0,0.7553416680074072,mScarlet,40nmbeads,singlet,,
16,2.0,224696.0,0.7088447864121468,mScarlet,40nmbeads,singlet,,
17,2.125,214094.0,0.6753988308742574,mScarlet,40nmbeads,singlet,,
18,2.25,201300.0,0.6350378088829581,mScarlet,40nmbeads,singlet,,
19,2.375,191197.0,0.6031660404619719,mScarlet,40nmbeads,singlet,,
20,2.5,180515.0,0.5694677102360018,mScarlet,40nmbeads,singlet,,
21,2.625,171490.0,0.5409966907369026,mScarlet,40nmbeads,singlet,,
22,2.75,162477.0,0.5125635274410153,mScarlet,40nmbeads,singlet,,
23,2.875,153293.0,0.48359091324935566,mScarlet,40nmbeads,singlet,,
24,3.0,146601.0,0.46247977059140855,mScarlet,40nmbeads,singlet,,
25,3.125,138968.0,0.43840007066491266,mScarlet,40nmbeads,singlet,,
