,frame,mean_arrival,date,delay_us
0,2,2.2902924216108564,20230420,60
1,3,2.395286713523487,20230420,120
2,4,2.407405281164941,20230420,180
3,5,2.402071452766192,20230420,240
4,6,2.4509325858287525,20230420,300
5,7,2.412700503299723,20230420,360
6,8,2.390050120196812,20230420,420
7,9,2.5073621919120033,20230420,480
8,10,2.4168681561324563,20230420,540
9,11,2.3984502492044486,20230420,600
10,12,2.368735617945945,20230420,660
11,13,2.3835996541056064,20230420,720
12,14,2.2961121697843403,20230420,780
13,15,2.3068960688556643,20230420,840
14,16,2.301950289792156,20230420,900
15,2,2.1474836105439916,20230424,60
16,3,2.2124168032578124,20230424,120
17,4,2.244154733456301,20230424,180
18,5,2.222266227261736,20230424,240
19,6,2.241555265631182,20230424,300
20,7,2.241294402024324,20230424,360
21,8,2.2297568895380415,20230424,420
22,9,2.255910138239769,20230424,480
23,10,2.249804754996582,20230424,540
24,11,2.134432837680234,20230424,600
25,12,2.167733229913998,20230424,660
26,13,2.1260723172967797,20230424,720
27,14,2.0351385582394617,20230424,780
28,15,1.9758422032757847,20230424,840
29,16,2.032755019983358,20230424,900
30,2,2.2827848622387537,20230426,60
31,3,2.347633351824065,20230426,120
32,4,2.383737291233471,20230426,180
33,5,2.373718612619669,20230426,240
34,6,2.415029198832725,20230426,300
35,7,2.3519820839415626,20230426,360
36,8,2.272826157868592,20230426,420
37,9,2.439188873009406,20230426,480
38,10,2.404849864101884,20230426,540
39,11,2.367139207257374,20230426,600
40,12,2.2655712158612236,20230426,660
41,13,2.297334012024616,20230426,720
42,14,2.2797974375516246,20230426,780
43,15,2.054606163673318,20230426,840
44,16,2.177873857212771,20230426,900
