,time_ns,counts_singlet,counts_singlet_norm,fluorophore,condition,intended_signal,counts_triplet,counts_triplet_norm
0,0.0,3474.0,0.01837404996006791,mVenus,40nmbeads,singlet,,
1,0.125,3443.0,0.018210090389324644,mVenus,40nmbeads,singlet,,
2,0.25,3342.0,0.017675899529806263,mVenus,40nmbeads,singlet,,
3,0.375,3312.0,0.01751722897747407,mVenus,40nmbeads,singlet,,
4,0.5,10530.0,0.055693363868599625,mVenus,40nmbeads,singlet,,
5,0.625,63734.0,0.33709029941133223,mVenus,40nmbeads,singlet,,
6,0.75,159159.0,0.8417948812879817,mVenus,40nmbeads,singlet,,
7,0.875,189071.0,1.0,mVenus,40nmbeads,singlet,,
8,1.0,185219.0,0.9796267010805465,mVenus,40nmbeads,singlet,,
9,1.125,177185.0,0.9371347271659852,mVenus,40nmbeads,singlet,,
10,1.25,166449.0,0.8803518255047046,mVenus,40nmbeads,singlet,,
11,1.375,154383.0,0.8165345293566967,mVenus,40nmbeads,singlet,,
12,1.5,143923.0,0.7612113967768722,mVenus,40nmbeads,singlet,,
13,1.625,133806.0,0.7077023975120458,mVenus,40nmbeads,singlet,,
14,1.75,124153.0,0.6566475027899572,mVenus,40nmbeads,singlet,,
15,1.875,115670.0,0.6117807596088242,mVenus,40nmbeads,singlet,,
16,2.0,108332.0,0.5729699425083699,mVenus,40nmbeads,singlet,,
17,2.125,100698.0,0.5325935759582379,mVenus,40nmbeads,singlet,,
18,2.25,95127.0,0.5031284543901497,mVenus,40nmbeads,singlet,,
19,2.375,89132.0,0.47142078901576656,mVenus,40nmbeads,singlet,,
20,2.5,83502.0,0.44164361536142505,mVenus,40nmbeads,singlet,,
21,2.625,78604.0,0.41573800318398907,mVenus,40nmbeads,singlet,,
22,2.75,73758.0,0.3901074199639289,mVenus,40nmbeads,singlet,,
23,2.875,69837.0,0.3693691787741113,mVenus,40nmbeads,singlet,,
24,3.0,65502.0,0.3464412839621095,mVenus,40nmbeads,singlet,,
25,3.125,61629.0,0.3259569156560234,mVenus,40nmbeads,singlet,,
26,3.25,59270.0,0.31348012122430197,mVenus,40nmbeads,singlet,,
27,3.375,55380.0,0.29290583960522765,mVenus,40nmbeads,singlet,,
28,3.5,52384.0,0.2770599404456527,mVenus,40nmbeads,singlet,,
29,3.625,49439.0,0.26148378122504246,mVenus,40nmbeads,singlet,,
30,3.75,46754.0,0.2472827667913112,mVenus,40nmbeads,singlet,,
31,3.875,44232.0,0.23394386235858486,mVenus,40nmbeads,singlet,,
32,4.0,42124.0,0.2227946115480428,mVenus,40nmbeads,singlet,,
33,4.125,39717.0,0.21006394423258987,mVenus,40nmbeads,singlet,,
34,4.25,37866.0,0.20027397115369358,mVenus,40nmbeads,singlet,,
35,4.375,36134.0,0.191113391265715,mVenus,40nmbeads,singlet,,
36,4.5,34171.0,0.18073104812477853,mVenus,40nmbeads,singlet,,
